Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 6966079b203ae743319b3d6f - minikube	Unknown Heuristic - Run None (Profile ?) 6966079b203ae743319b3d6f - minikube-m02	Unknown Heuristic - Run None (Profile ?) 6966079b203ae743319b3d6f - minikube-m03	Unknown Heuristic - Run None (Profile ?) 6966079b203ae743319b3d6f - minikube-m04
8991.170287316048	3	3	2	2
9006.306937631394	3	3	2	2
9021.443587946742	2	2	2	1
9036.580238262088	3	3	3	3
9051.716888577435	3	3	3	2
9066.853538892781	4	3	3	3
9081.990189208129	3	3	2	2
9097.126839523477	3	3	3	3
9112.263489838822	2	2	1	1
9127.40014015417	3	2	2	2
9142.536790469516	2	2	2	1
9157.673440784863	3	3	3	3
9172.810091100211	3	3	3	2
9187.946741415557	4	4	3	3
9203.083391730905	3	2	2	2
9218.22004204625	3	3	2	2
9233.356692361598	3	3	2	2
9248.493342676944	2	2	2	2
9263.629992992292	2	2	2	1
9278.76664330764	3	2	2	2
9293.903293622985	4	4	4	3
9309.039943938333	2	2	2	2
9324.176594253679	3	3	2	2
9339.313244569026	3	3	3	2
9354.449894884372	3	3	2	2
9369.58654519972	3	3	3	3
9384.723195515067	3	3	3	3
9399.859845830413	4	4	3	3
9414.99649614576	3	2	2	2
9430.133146461107	2	2	2	1
9445.269796776454	2	2	2	1
9460.4064470918	2	2	1	1
9475.543097407148	2	2	2	1
9490.679747722495	3	3	2	2
9505.816398037841	3	3	3	2
9520.953048353189	3	3	3	3
9536.089698668535	3	3	3	2
9551.226348983882	2	2	2	2
9566.362999299228	3	3	3	3
9581.499649614576	3	2	2	2
9596.636299929924	3	3	2	2
9611.772950245271	3	2	2	2
9626.909600560617	2	2	1	1
9642.046250875963	2	2	1	1
9657.18290119131	3	3	2	2
9672.319551506656	2	2	2	2
9687.456201822004	3	3	3	2
9702.592852137352	4	4	4	3
9717.729502452697	3	3	3	3
9732.866152768045	4	3	3	3
9748.002803083391	2	1	1	1
9763.139453398739	3	3	3	3
9778.276103714086	3	3	2	2
9793.412754029432	4	3	3	3
9808.54940434478	3	3	2	2
9823.686054660126	3	3	3	3
9838.822704975473	3	3	3	3
9853.959355290819	3	2	2	2
9869.096005606167	2	2	2	1
9884.232655921514	2	2	2	1
9899.36930623686	2	1	1	1
9914.505956552208	3	3	3	2
9929.642606867554	4	3	3	3
9944.779257182901	2	2	1	1
9959.915907498247	3	2	2	2
9975.052557813595	3	3	2	2
9990.189208128942	3	2	2	2
10005.325858444288	2	2	2	1
10020.462508759636	2	2	1	1
10035.599159074982	3	2	2	2
10050.73580939033	3	2	2	2
10065.872459705675	3	2	2	2
10081.009110021023	2	2	2	1
10096.14576033637	2	2	2	2
10111.282410651716	3	2	2	2
10126.419060967064	3	3	2	2
10141.55571128241	3	3	2	2
10156.692361597758	3	3	3	3
10171.829011913103	3	2	2	2
10186.965662228451	3	2	2	2
10202.102312543799	3	3	3	3
10217.238962859146	3	3	3	3
10232.375613174492	4	3	3	3
10247.512263489838	3	2	2	2
10262.648913805186	3	2	2	2
10277.785564120531	2	2	2	2
10292.92221443588	3	2	2	2
10308.058864751227	2	2	2	1
10323.195515066574	3	2	2	2
10338.33216538192	3	3	3	3
10353.468815697266	3	2	2	2
10368.605466012614	2	2	2	2
10383.742116327961	3	3	2	2
10398.878766643307	3	2	2	2
10414.015416958655	2	2	2	1
10429.152067274003	2	2	2	2
10444.288717589348	2	2	2	1
10459.425367904694	3	3	2	2
10474.562018220042	3	3	2	2
10489.69866853539	4	3	3	3
10504.835318850735	3	3	3	2
10519.971969166083	4	4	3	3
10535.10861948143	3	3	3	3
10550.245269796776	3	3	2	2
10565.381920112122	3	3	3	2
10580.51857042747	4	3	3	3
10595.655220742818	3	3	2	2
10610.791871058163	3	3	3	3
10625.928521373511	3	3	2	2
10641.065171688859	2	2	2	1
10656.201822004205	2	2	2	2
10671.33847231955	3	2	2	2
10686.475122634898	3	2	2	2
10701.611772950246	3	3	2	2
10716.748423265593	3	3	2	2
10731.88507358094	3	2	2	2
10747.021723896287	3	3	3	3
10762.158374211633	3	2	2	2
10777.295024526979	2	2	2	1
10792.431674842326	3	3	3	2
10807.568325157674	3	3	2	2
10822.704975473021	3	3	3	2
10837.841625788367	3	3	2	2
10852.978276103715	3	3	3	2
10868.11492641906	3	2	2	2
10883.251576734407	3	3	2	2
10898.388227049754	3	3	2	2
10913.524877365102	3	3	3	2
10928.66152768045	3	3	2	2
10943.798177995795	3	3	2	2
10958.934828311143	2	2	2	1
10974.071478626489	3	2	2	2
10989.208128941835	3	2	2	2
11004.344779257182	2	1	1	1
11019.48142957253	2	2	1	1
11034.618079887878	3	2	2	2
11049.754730203224	3	3	3	2
11064.891380518571	3	3	2	2
11080.028030833917	3	2	2	2
11095.164681149263	3	3	3	2
11110.30133146461	3	3	3	3
11125.437981779958	3	3	3	2
11140.574632095306	2	2	2	1
11155.711282410652	2	2	2	1
11170.847932726	2	2	2	1
11185.984583041345	2	2	2	2
11201.121233356691	3	3	2	2
11216.257883672039	2	1	1	1
11231.394533987386	2	2	2	2
11246.531184302734	4	4	3	3
11261.66783461808	3	3	3	2
11276.804484933427	3	2	2	2
11291.941135248775	4	3	3	3
11307.077785564119	3	3	2	2
11322.214435879467	2	2	2	1
11337.351086194814	3	3	2	2
11352.487736510162	3	2	2	2
11367.624386825508	3	2	2	2
11382.761037140855	3	3	3	2
11397.897687456203	2	2	2	1
11413.034337771547	2	2	2	1
11428.170988086895	2	2	2	2
11443.307638402242	2	2	2	2
11458.44428871759	3	3	3	2
11473.580939032936	3	3	2	2
11488.717589348284	3	3	3	2
11503.854239663631	4	3	3	3
11518.990889978975	3	3	2	2
11534.127540294323	3	2	2	2
11549.26419060967	2	2	2	2
11564.400840925018	3	3	3	3
11579.537491240364	3	2	2	2
11594.674141555712	2	2	2	2
11609.81079187106	3	3	2	2
11624.947442186407	2	2	2	1
11640.084092501751	3	3	2	2
11655.220742817099	3	3	2	2
11670.357393132446	3	3	3	2
11685.494043447792	3	2	2	2
11700.63069376314	3	3	3	3
11715.767344078487	3	3	3	2
11730.903994393835	4	4	3	3
11746.04064470918	3	3	3	2
11761.177295024527	2	2	2	2
11776.313945339874	3	3	3	2
11791.45059565522	4	3	3	3
11806.587245970568	3	3	3	3
11821.723896285916	3	2	2	2
11836.860546601263	4	3	3	3
11851.997196916607	4	3	3	3
11867.133847231955	3	3	3	3
11882.270497547303	2	2	2	2
11897.407147862648	2	2	2	2
11912.543798177996	2	2	2	2
11927.680448493344	3	2	2	2
11942.817098808691	3	3	2	2
11957.953749124035	3	2	2	2
11973.090399439383	3	3	2	2
11988.227049754729	3	3	2	2
12003.363700070076	4	3	3	3
12018.500350385424	2	2	2	2
12033.637000700772	3	3	2	2
12048.77365101612	3	2	2	2
12063.910301331465	3	3	2	2
12079.046951646811	3	3	2	2
12094.183601962157	3	2	2	2
12109.320252277505	3	2	2	2
12124.456902592852	3	2	2	2
12139.5935529082	3	2	2	2
12154.730203223548	3	2	2	2
12169.866853538893	3	2	2	2
12185.00350385424	3	3	3	2
12200.140154169585	3	3	2	2
12215.276804484933	4	3	3	3
12230.41345480028	2	2	2	2
12245.550105115628	4	4	3	3
12260.686755430974	3	3	3	3
12275.823405746321	3	3	3	2
12290.960056061667	2	2	2	2
12306.096706377013	3	3	3	3
12321.23335669236	3	2	2	2
12336.370007007708	2	2	2	2
12351.506657323056	2	2	1	1
12366.643307638402	3	3	2	2
12381.77995795375	2	2	2	2
12396.916608269097	3	3	2	2
12412.053258584441	3	3	3	2
12427.189908899789	2	2	1	1
12442.326559215137	2	2	1	1
12457.463209530484	3	3	3	2
12472.59985984583	3	3	3	3
12487.736510161178	2	2	2	2
12502.873160476525	2	2	1	1
12518.00981079187	3	2	2	2
12533.146461107217	3	2	2	2
12548.283111422565	3	2	2	2
12563.419761737912	2	2	1	1
12578.556412053258	3	2	2	2
