Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 6959ac3358fafb2297a62052 - minikube	Unknown Heuristic - Run None (Profile ?) 6959ac3358fafb2297a62052 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 6959ac3358fafb2297a62052 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 6959ac3358fafb2297a62052 - minikube-m04
2528.6184872613317	3	3	2	2
2538.838521564692	3	3	2	2
2548.9785555995322	2	2	2	2
2559.218589970023	3	2	2	2
2559.4585907755863	2	2	2	1
2569.688625112512	3	3	2	2
2579.918659449438	3	3	3	3
2590.1486937863638	3	2	2	2
2600.348728022594	3	3	3	3
2610.518762158129	2	2	2	1
2610.7487629301277	2	2	2	1
2620.9187970656626	2	2	2	2
2631.058831100502	1	1	1	1
2641.1988651353417	2	2	2	1
2651.398899371572	3	3	3	3
2661.588933574237	4	4	4	4
2661.8289343798006	4	3	3	3
2672.0389686495964	2	2	2	2
2682.2190028186965	2	2	2	2
2692.3590368535356	3	3	2	2
2702.499070888375	2	1	1	1
2712.689105091041	2	2	2	2
2712.929105896604	2	1	1	1
2723.1191400992693	2	2	2	2
2733.269174167674	3	2	2	2
2743.459208370339	3	3	3	2
2753.6392425394392	4	4	3	3
2763.779276574279	3	2	2	2
2764.0092773462775	3	2	2	2
2774.179311481812	2	2	2	2
2784.3293455502167	2	2	2	1
2794.4393794843613	2	2	2	2
2804.629413687026	3	3	2	2
2814.73944762117	3	3	3	2
2814.9794484267336	2	2	2	2
2825.2094827636593	2	2	2	2
2835.3895169327593	3	2	2	2
2845.579551135425	3	3	2	2
2855.6795850360036	3	3	3	2
2865.8296191044087	3	3	3	3
2866.069619909972	3	3	3	2
2876.199653911246	4	4	3	3
2886.4196882146066	3	3	3	2
2896.609722417272	3	3	3	3
2906.7897565863723	3	2	2	2
2917.029790956863	3	3	3	3
2917.2597917288617	3	3	3	3
2927.4698259986576	3	3	3	3
2937.699860335583	3	2	2	2
2947.919894638944	2	2	2	2
2958.1199288751745	3	3	3	2
2968.319963111405	4	3	3	3
2968.559963916968	3	3	2	2
2978.7699981867636	3	3	3	2
2988.970032422994	3	3	3	3
2999.1800666927893	2	2	1	1
3009.4401011304108	3	3	3	2
3019.640135366641	3	3	3	2
3019.8801361722044	3	2	2	2
3030.0601703413045	2	2	2	2
3040.190204342579	2	2	2	1
3050.390238578809	3	3	2	2
3060.580272781475	2	2	2	1
3070.8003070848354	3	3	2	2
3071.0403078903987	3	2	2	2
3081.2603421937597	4	3	3	3
3091.390376195034	3	3	3	3
3101.570410364134	3	3	3	2
3111.7904446674947	3	3	2	2
3121.890478568074	2	2	2	1
3122.130479373637	2	2	1	1
3132.2705134084767	2	2	1	1
3142.430547510446	3	3	2	2
3152.610581679546	2	2	1	1
3162.740615680821	2	1	1	1
3172.870649682095	2	2	1	1
3173.110650487659	1	1	1	1
3183.3206847574543	3	3	2	2
3193.5207189936846	2	2	2	1
3203.7507533306107	3	3	2	2
3213.9007873990154	3	2	2	2
3224.0508214674196	3	2	2	2
3224.2908222729834	2	2	2	1
3234.4908565092137	2	2	2	2
3244.7308908797045	3	3	3	3
3254.910925048805	2	2	2	2
3265.1309593521655	2	2	2	2
3275.360993689091	3	2	2	2
3275.6009944946545	2	2	2	2
3285.781028663755	3	3	3	2
3295.961062832855	3	3	3	3
3306.211097236911	3	3	2	2
3316.4611316409673	4	4	3	3
3326.651165843632	3	3	3	3
3326.8911666491963	3	3	2	2
3337.081200851861	2	2	1	1
3347.321235222352	3	3	2	2
3357.501269391452	2	1	1	1
3367.7613038290738	3	3	2	2
3377.971338098869	3	2	2	2
3378.211338904433	2	2	2	1
3388.4113731406633	4	3	3	3
3398.551407175503	3	3	3	2
3408.7414413781676	2	2	2	2
3418.931475580833	2	2	2	1
3429.141509850628	3	3	3	3
3429.3815106561924	3	3	2	2
3439.551544791727	2	2	2	2
3449.7915791622177	3	3	3	3
3459.961613297753	3	3	3	2
3470.1816476011136	2	2	2	2
3480.371681803779	3	3	2	2
3480.6116826093426	2	2	2	2
3490.861717013399	4	4	3	3
3501.091751350324	3	2	2	2
3511.221785351599	2	2	2	1
3521.46181972209	3	3	3	2
3531.671853991885	3	3	2	2
3531.911854797449	2	2	2	2
3542.141889134374	3	2	2	2
3552.2819231692138	2	2	1	1
3562.431957237619	2	2	1	1
3572.611991406719	3	2	2	2
3582.762025475123	3	3	3	2
3582.992026247122	3	3	3	2
3593.172060416222	3	3	3	2
3603.3920947195825	3	2	2	2
3613.542128787987	3	3	2	2
3623.7521630577826	2	2	2	1
3633.9421972604478	3	3	3	2
3634.1721980324464	3	3	3	2
3644.3022320337204	3	3	3	3
3654.4322660349953	3	3	2	2
3664.672300405486	3	2	2	2
3674.862334608151	2	2	2	1
3685.092368945077	3	3	2	2
3685.3323697506403	3	2	2	2
3695.47240378548	3	2	2	2
3705.722438189536	4	3	3	3
3715.9024723586363	2	2	1	1
3726.112506628432	3	3	2	2
3736.2625406968364	3	3	3	2
3736.5025415023997	2	2	2	2
3746.632575503674	3	2	2	2
3756.84260977347	3	3	3	2
3767.012643909005	2	2	2	2
3777.1726780109743	3	3	2	2
3787.38271228077	3	3	3	3
3787.6227130863335	3	3	2	2
3797.8327473561294	3	3	3	2
3808.042781625925	2	1	1	1
3818.182815660764	2	2	2	1
3828.3428497627337	2	1	1	1
3838.5028838647036	3	2	2	2
3838.7328846367022	3	2	2	2
3848.952918940063	3	3	3	3
3859.122953075598	4	4	3	3
3869.2629871104373	3	3	3	3
3879.4830214137983	3	3	3	3
3889.6130554150727	3	2	2	2
3889.853056220636	2	2	2	1
3900.033090389736	2	2	2	2
3910.2331246259664	3	3	2	2
3920.3631586272404	2	2	2	2
3930.553192829906	3	2	2	2
3940.733226999006	3	3	3	2
3940.9732278045694	3	2	2	2
3951.113261839409	3	2	2	2
3961.343296176335	3	3	2	2
3971.5433304125654	2	2	2	1
3981.7233645816655	2	2	2	2
3991.8833986836353	4	3	3	3
3992.123399489199	3	3	2	2
4002.3434337925596	4	3	3	3
4012.5234679616597	3	3	3	2
4022.713502164325	3	3	3	2
4032.90353636699	4	3	3	3
4043.0735705025254	2	2	2	1
4043.303571274523	2	2	2	1
4053.433605275798	2	1	1	1
4063.6336395120284	3	3	2	2
4073.853673815389	2	2	2	1
4084.11370825301	4	4	3	3
4094.29374242211	3	3	2	2
4094.5237431941086	3	3	2	2
4104.663777228948	3	3	2	2
4114.853811431613	4	3	3	3
4125.023845567149	3	2	2	2
4135.2138797698135	2	2	2	2
4145.413914006044	3	2	2	2
4145.653914811608	2	2	1	1
4155.803948880012	2	2	2	2
4166.0439832505035	3	3	3	2
4176.224017419603	3	2	2	2
4186.334051353748	3	3	3	3
4196.514085522847	3	3	3	2
4196.754086328411	2	2	2	2
4206.984120665337	4	3	3	3
4217.144154767307	3	3	2	2
