Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695845335fab039b83473150 - minikube	Unknown Heuristic - Run None (Profile ?) 695845335fab039b83473150 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695845335fab039b83473150 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695845335fab039b83473150 - minikube-m04
1729.4858049870445	3	2	2	2
1739.7058392904	2	2	2	1
1739.9458400959584	2	2	1	1
1750.0858741307948	2	2	1	1
1760.2559082663258	2	2	2	2
1770.425942401857	3	3	2	2
1780.6459767052122	2	2	2	2
1790.8160108407435	2	2	1	1
1791.0560116463016	1	1	1	1
1801.2560458825276	3	2	2	2
1811.496080253013	2	2	2	2
1821.686114455674	2	2	2	2
1831.9161487925944	3	2	2	2
1842.016182693171	2	2	2	2
1842.2461834651642	2	2	2	2
1852.436217667825	3	3	2	2
1862.5662516690966	3	2	2	2
1872.6762856032383	3	3	2	2
1882.906319940159	2	2	2	1
1893.0863541092547	2	2	2	2
1893.316354881248	2	2	2	2
1903.506389083909	3	3	2	2
1913.6264230516153	3	3	2	2
1923.846457354971	3	3	2	2
1934.0564916247617	4	3	3	3
1944.1965256595981	4	4	3	3
1944.436526465156	3	3	3	2
1954.5965605671224	3	3	3	2
1964.7465946355235	3	2	2	2
1974.9466288717492	3	2	2	2
1985.166663175105	3	2	2	2
1995.3866974784607	3	3	3	3
1995.6266982840189	3	2	2	2
2005.7867323859848	2	2	2	1
2016.0067666893406	3	3	3	2
2026.1668007913067	3	2	2	2
2036.3668350275327	3	3	3	2
2046.5968693644531	2	2	2	1
2046.8268701364464	2	2	2	1
2057.006904305542	2	2	2	2
2067.1469383403814	2	1	1	1
2077.4069727780025	3	3	3	3
2087.5370067792774	4	3	3	3
2097.747041049073	3	2	2	2
2097.977041821071	3	2	2	2
2108.0570756545194	3	2	2	2
2118.2471098571846	2	2	2	1
2128.3971439255893	3	3	2	2
2138.5471779939944	3	3	3	2
2148.7172121295293	2	2	2	1
2148.9572129350927	2	2	1	1
2159.2072473391486	3	3	3	3
2169.397281541814	3	3	3	2
2179.5373155766533	2	2	1	1
2189.7873499807097	3	3	3	3
2199.977384183375	2	2	2	1
2200.207384955373	2	2	2	1
2210.3974191580387	3	3	3	3
2220.6274534949644	3	3	2	2
2230.777487563369	3	2	2	2
2240.9975218667296	3	3	2	2
2251.087555733743	3	3	2	2
2251.317556505742	3	3	2	2
2261.4475905070162	3	3	3	2
2271.597624575421	3	3	2	2
2281.777658744521	3	2	2	2
2291.8876926786647	3	3	3	3
2302.0577268141997	3	2	2	2
2302.297727619763	2	2	2	2
2312.517761923124	3	3	2	2
2322.7477962600497	2	2	2	2
2332.9778305969758	3	3	3	2
2343.167864799641	3	3	3	2
2353.357899002306	2	2	2	2
2353.5978998078695	2	2	2	1
2363.8179341112304	3	3	2	2
2373.9979682803305	3	3	3	2
2384.198002516561	2	2	2	1
2394.378036685661	3	2	2	2
2404.5380707876307	2	2	2	2
2404.768071559629	2	2	2	2
2415.00810593012	3	3	3	3
2425.2281402334806	2	2	2	2
2435.428174469711	3	3	3	3
2445.618208672376	4	3	3	3
2455.7482426736506	3	3	2	2
2455.9782434456492	3	3	2	2
2466.0982774133586	3	2	2	2
2476.2783115824586	2	2	2	2
2486.478345818689	2	1	1	1
2496.7283802227453	2	2	2	2
2506.9184144254104	3	2	2	2
2507.158415230974	2	2	2	2
2517.338449400074	3	3	2	2
2527.518483569174	3	2	2	2
2537.6685176375786	3	2	2	2
2547.758551504592	3	2	2	2
2557.9185856065624	3	3	3	3
2558.1585864121257	3	2	2	2
2568.358620648356	3	3	2	2
2578.548654851021	3	3	3	3
2588.758689120817	3	3	2	2
2598.9587233570473	4	3	3	3
2609.098757391887	2	2	2	2
2609.3387581974503	2	2	2	1
2619.5487924672457	2	2	2	2
2629.788826837737	4	4	3	3
2639.9488609397067	4	3	3	3
2650.128895108807	3	2	2	2
2660.338929378602	3	2	2	2
2660.5789301841655	2	2	2	2
2670.828964588222	4	3	3	3
2680.998998723757	3	2	2	2
2691.2290330606825	2	2	2	2
2701.479067464739	3	2	2	2
2711.679101700969	3	2	2	2
2711.9091024729673	3	2	2	2
2722.1091367091976	4	4	4	3
2732.3391710461233	2	2	2	1
2742.5692053830494	3	2	2	2
2752.7592395857146	3	2	2	2
2763.0092739897705	4	4	4	3
2763.2492747953347	3	3	3	3
2773.3793087966087	3	3	2	2
2783.569342999274	3	3	2	2
2793.809377369765	3	3	2	2
2803.9494114046042	3	3	2	2
2814.1394456072694	2	2	2	2
2814.379446412833	2	2	2	1
2824.5794806490635	2	2	2	1
2834.719514683903	3	2	2	2
2844.899548853003	2	2	2	1
2855.0495829214074	2	2	2	1
2865.209617023377	3	3	2	2
2865.4496178289414	2	2	2	2
2875.6596520987364	2	2	2	1
2885.8896864356625	2	2	2	2
2895.9997203698063	3	3	2	2
2906.1797545389068	2	2	1	1
2916.389788808702	2	1	1	1
2916.6197895807004	2	1	1	1
2926.7998237498005	3	3	2	2
2937.0398581202917	2	2	2	2
2947.229892322957	3	3	3	2
2957.399926458492	2	2	2	2
2967.579960627592	2	2	2	2
2967.8199614331556	2	2	2	1
2978.0499957700813	3	2	2	2
2988.200029838486	3	2	2	2
2998.33006383976	2	2	2	1
3008.5800982438163	3	3	2	2
3018.720132278656	3	3	3	3
3018.9601330842193	3	3	2	2
3029.1401672533193	2	2	2	2
3039.350201523115	2	2	2	1
3049.56023579291	3	3	3	2
3059.7502699955758	3	3	3	2
3069.930304164676	3	3	3	2
3070.170304970239	2	2	2	2
3080.380339240035	2	2	1	1
3090.6003735433956	3	3	3	3
3100.8304078803217	3	2	2	2
3111.0404421501166	4	3	3	3
3121.2504764199125	2	2	2	2
3121.490477225476	2	2	2	1
3131.690511461706	3	3	2	2
3141.910545765067	4	4	3	3
3152.080579900602	3	2	2	2
3162.3006142039626	3	3	3	2
3172.440648238802	3	2	2	2
3172.6806490443655	2	2	2	1
3182.900683347726	3	3	3	2
3193.0707174832614	2	2	2	2
3203.3007518201875	4	3	3	3
3213.450785888592	4	3	3	3
3223.6408200912574	3	3	2	2
3223.8808208968208	2	2	2	2
3234.1008552001813	3	2	2	2
3244.290889402847	3	3	3	2
3254.470923571947	4	4	3	3
3264.680957841742	2	2	2	2
3274.880992077972	3	3	2	2
3275.1209928835356	2	2	2	1
3285.341027186897	4	3	3	3
3295.571061523822	3	3	2	2
3305.791095827183	2	2	2	2
3316.0011300969786	3	2	2	2
3326.24116446747	3	3	3	2
3326.481165273033	2	2	2	2
3336.6211993078728	2	2	2	1
3346.831233577668	3	3	3	2
3357.021267780334	3	3	3	2
