Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695b33b59d973141a19f39f2 - minikube	Unknown Heuristic - Run None (Profile ?) 695b33b59d973141a19f39f2 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695b33b59d973141a19f39f2 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695b33b59d973141a19f39f2 - minikube-m04
4750.865946194902	2	2	1	1
4761.085980498262	3	3	2	2
4761.325981303826	2	2	2	1
4771.546015607187	3	2	2	2
4781.686049642026	2	2	2	1
4791.926084012517	3	3	2	2
4802.176118416573	3	3	3	3
4812.376152652804	2	2	2	2
4812.616153458367	2	1	1	1
4822.856187828858	3	3	2	2
4833.076222132218	4	3	3	3
4843.256256301319	3	3	3	2
4853.4462905039845	2	2	2	1
4863.646324740214	1	1	1	1
4863.876325512213	1	1	1	1
4874.056359681314	3	2	2	2
4884.276393984674	2	2	2	1
4894.376427885252	1	1	1	1
4904.596462188613	2	2	2	1
4914.84649659267	3	3	3	3
4915.086497398233	3	2	2	2
4925.316531735159	3	2	2	2
4935.506565937824	2	2	1	1
4945.686600106924	2	2	2	1
4955.926634477415	4	4	3	3
4966.086668579384	3	3	3	3
4966.326669384948	3	2	2	2
4976.516703587614	2	2	1	1
4986.7867380588	4	4	4	3
4997.0067723621605	2	2	2	1
5007.206806598391	3	3	3	2
5017.416840868187	3	3	3	3
5017.646841640185	3	3	3	3
5027.806875742154	2	2	1	1
5037.97690987769	2	2	2	1
5048.166944080354	3	2	2	2
5058.306978115194	2	2	2	1
5068.447012150034	2	2	2	2
5068.687012955597	2	2	1	1
5078.907047258958	2	2	2	1
5089.107081495189	3	3	2	2
5099.287115664289	3	3	3	3
5109.427149699128	2	2	2	2
5119.6271839353585	3	3	3	3
5119.867184740922	3	2	2	2
5130.027218842893	3	3	3	2
5140.257253179818	4	3	3	3
5150.477287483179	4	4	4	4
5160.637321585148	4	4	3	3
5170.7973556871175	3	3	3	2
5171.027356459116	3	3	3	2
5181.227390695347	1	1	1	1
5191.467425065837	3	3	3	2
5201.7074594363285	4	3	3	3
5211.937493773255	3	3	3	2
5222.137528009485	3	3	3	3
5222.377528815048	3	2	2	2
5232.597563118409	3	3	3	3
5242.777597287509	3	3	3	2
5253.007631624435	3	2	2	2
5263.227665927796	2	2	2	2
5273.417700130461	2	2	2	2
5273.657700936024	2	2	1	1
5283.857735172255	2	2	2	1
5294.077769475615	4	4	4	3
5304.22780354402	4	4	4	3
5314.377837612425	4	3	3	3
5324.607871949351	3	2	2	2
5324.8478727549145	2	2	2	1
5335.027906924014	3	2	2	2
5345.21794112668	3	3	2	2
5355.387975262214	2	2	2	2
5365.548009364184	3	3	2	2
5375.77804370111	4	3	3	3
5376.0180445066735	3	3	2	2
5386.198078675773	3	2	2	2
5396.2881125427875	3	2	2	2
5406.488146779017	2	2	2	1
5416.628180813857	3	2	2	2
5426.838215083653	3	3	3	3
5427.078215889217	3	2	2	2
5437.288250159012	3	3	3	3
5447.468284328112	2	2	2	1
5457.648318497212	3	3	2	2
5467.858352767007	3	3	3	2
5478.088387103933	4	3	3	3
5478.328387909497	3	3	2	2
5488.508422078597	4	3	3	3
5498.708456314827	4	3	3	3
5508.898490517493	4	4	3	3
5519.048524585897	4	4	3	3
5529.258558855693	3	3	3	3
5529.498559661257	3	3	2	2
5539.698593897487	2	1	1	1
5549.938628267978	3	2	2	2
5560.108662403512	3	2	2	2
5570.298696606178	2	2	2	1
5580.498730842409	3	3	3	3
5580.738731647973	3	3	2	2
5590.898765749941	2	2	1	1
5601.078799919042	3	2	2	2
5611.268834121707	3	3	2	2
5621.468868357938	3	3	2	2
5631.678902627733	3	2	2	2
5631.908903399731	3	2	2	2
5642.048937434571	3	2	2	2
5652.238971637236	3	2	2	2
5662.389005705641	2	2	2	2
5672.569039874741	3	3	3	2
5682.72907397671	3	3	2	2
5682.969074782273	3	2	2	2
5693.17910905207	2	2	2	2
5703.369143254734	3	3	3	2
5713.53917739027	3	2	2	2
5723.629211257284	3	2	2	2
5733.849245560644	2	2	2	2
5734.079246332643	2	2	2	2
5744.269280535307	2	2	2	2
5754.479314805104	4	4	3	3
