Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695927bece5f2ed21d522d82 - minikube	Unknown Heuristic - Run None (Profile ?) 695927bece5f2ed21d522d82 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695927bece5f2ed21d522d82 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695927bece5f2ed21d522d82 - minikube-m04
4949.863595028796	2	2	1	1
4962.958472264323	3	3	3	3
4976.053349499849	3	3	2	2
4989.148226735375	3	3	3	3
5002.243103970901	4	3	3	3
5015.337981206426	3	3	2	2
5028.432858441952	3	2	2	2
5041.527735677478	3	3	2	2
5054.622612913004	3	3	2	2
5067.71749014853	3	3	3	3
5080.8123673840555	3	2	2	2
5093.907244619581	3	3	3	3
5107.002121855107	3	3	3	2
5120.096999090633	3	3	3	2
5133.19187632616	3	3	2	2
5146.286753561685	2	2	2	2
5159.381630797211	3	2	2	2
5172.476508032737	2	2	2	1
5185.571385268263	2	2	2	1
5198.666262503789	2	2	2	2
5211.761139739315	2	2	2	1
5224.856016974841	4	4	3	3
5237.950894210367	3	3	3	2
5251.045771445893	3	2	2	2
5264.1406486814185	2	2	2	1
5277.235525916944	2	2	2	1
5290.33040315247	3	2	2	2
5303.425280387996	3	3	2	2
5316.520157623522	2	2	2	2
5329.615034859048	2	2	2	2
5342.709912094574	2	2	2	1
5355.8047893301	3	3	2	2
5368.899666565626	2	1	1	1
5381.994543801152	2	2	2	1
5395.089421036678	2	2	2	1
5408.184298272205	2	2	2	1
5421.27917550773	1	1	1	1
5434.374052743256	2	2	2	2
5447.4689299787815	2	2	2	2
5460.563807214307	2	2	2	2
5473.658684449833	2	2	2	1
5486.753561685359	3	2	2	2
5499.848438920884	3	2	2	2
5512.943316156411	3	2	2	2
5526.038193391936	2	2	1	1
5539.133070627463	3	3	3	3
5552.227947862989	3	3	2	2
5565.322825098515	2	2	2	2
5578.417702334041	2	2	2	1
5591.512579569567	2	2	2	1
5604.607456805093	3	3	2	2
5617.702334040619	3	2	2	2
5630.7972112761445	2	2	1	1
5643.8920885116695	3	2	2	2
5656.986965747196	2	2	2	1
5670.081842982721	3	2	2	2
5683.176720218248	3	3	3	2
5696.271597453773	3	2	2	2
5709.3664746893	3	3	2	2
5722.461351924826	2	2	2	2
5735.556229160352	2	1	1	1
5748.651106395878	2	1	1	1
5761.745983631403	3	3	3	2
5774.84086086693	3	3	2	2
5787.935738102455	2	2	2	1
5801.0306153379815	3	3	2	2
5814.125492573507	3	3	2	2
5827.220369809033	3	3	2	2
5840.315247044558	2	2	2	1
5853.410124280085	3	3	2	2
5866.50500151561	3	3	2	2
5879.599878751137	3	3	2	2
5892.694755986663	2	2	2	2
5905.789633222188	2	2	2	1
5918.884510457715	3	3	3	3
5931.97938769324	3	2	2	2
5945.074264928767	3	2	2	2
5958.169142164292	2	2	2	1
5971.264019399819	1	1	1	1
5984.358896635344	3	2	2	2
5997.4537738708705	3	3	2	2
6010.5486511063955	3	3	2	2
6023.643528341922	3	3	2	2
6036.738405577447	2	2	2	1
6049.833282812973	1	1	1	1
6062.9281600485	2	2	2	2
6076.023037284025	3	2	2	2
6089.117914519552	3	2	2	2
6102.212791755077	3	3	3	3
6115.307668990604	4	3	3	3
6128.402546226129	3	3	2	2
6141.497423461656	4	4	4	3
6154.592300697181	3	2	2	2
6167.687177932707	3	3	3	3
6180.782055168233	3	3	2	2
6193.8769324037585	3	3	3	2
6206.971809639284	3	2	2	2
6220.06668687481	3	2	2	2
6233.161564110337	2	2	2	1
6246.256441345862	2	2	2	1
6259.351318581389	3	3	2	2
6272.446195816914	3	3	2	2
6285.541073052441	3	2	2	2
6298.635950287966	2	2	2	1
6311.730827523492	3	2	2	2
6324.825704759018	2	2	2	1
6337.920581994544	4	4	3	3
6351.01545923007	2	2	2	2
6364.1103364655955	2	2	2	2
6377.205213701121	2	2	2	1
6390.300090936647	2	2	2	1
6403.394968172174	2	2	2	1
6416.489845407699	3	3	2	2
6429.584722643226	4	3	3	3
6442.679599878751	3	3	2	2
6455.774477114277	3	2	2	2
6468.869354349803	3	3	3	3
6481.964231585329	3	3	2	2
6495.059108820855	2	2	2	2
6508.153986056381	3	3	2	2
6521.248863291906	2	2	2	2
6534.343740527433	2	2	1	1
6547.438617762958	4	3	3	3
6560.5334949984845	4	3	3	3
6573.628372234011	3	3	2	2
6586.723249469536	2	2	2	1
6599.818126705062	2	1	1	1
6612.913003940588	3	2	2	2
6626.007881176114	4	3	3	3
6639.10275841164	2	2	2	1
6652.197635647166	2	2	2	1
6665.292512882691	2	2	2	2
6678.387390118218	2	2	1	1
6691.482267353743	2	2	2	2
6704.57714458927	2	2	2	2
6717.672021824795	3	3	2	2
6730.7668990603215	2	2	2	1
6743.861776295847	4	3	3	3
6756.956653531373	3	3	2	2
6770.051530766899	3	2	2	2
6783.146408002424	2	2	2	2
6796.241285237951	2	2	2	1
6809.336162473476	2	2	1	1
6822.431039709003	2	2	2	2
6835.525916944528	2	1	1	1
6848.620794180055	2	2	1	1
6861.71567141558	2	2	2	1
6874.810548651107	2	2	2	2
6887.905425886632	3	2	2	2
6901.000303122159	2	2	2	2
6914.0951803576845	2	1	1	1
6927.1900575932095	3	3	2	2
6940.284934828736	3	3	3	2
6953.379812064261	3	3	3	3
6966.474689299788	3	3	3	3
6979.569566535313	3	3	3	3
6992.66444377084	3	2	2	2
7005.759321006365	3	3	3	2
7018.854198241892	2	2	2	2
7031.949075477417	3	3	2	2
7045.043952712944	2	2	2	1
7058.138829948469	4	4	4	3
7071.233707183995	3	3	3	3
7084.328584419522	3	3	2	2
7097.423461655047	3	3	2	2
7110.518338890573	4	3	3	3
7123.613216126098	3	3	2	2
7136.708093361625	3	3	2	2
7149.80297059715	3	2	2	2
7162.897847832677	3	2	2	2
7175.992725068202	2	2	2	1
7189.087602303728	2	2	2	1
7202.182479539254	2	2	1	1
7215.27735677478	2	2	2	1
7228.372234010307	2	2	2	1
7241.467111245832	2	2	2	1
7254.561988481359	4	4	4	3
7267.656865716884	3	3	2	2
7280.7517429524105	4	3	3	3
7293.8466201879355	3	3	3	2
7306.941497423462	3	2	2	2
7320.036374658987	2	2	2	2
7333.131251894513	2	2	2	2
7346.226129130039	2	2	2	2
7359.321006365565	2	2	2	2
7372.415883601091	2	2	2	1
7385.510760836617	1	1	1	1
7398.605638072144	3	2	2	2
7411.700515307669	2	2	2	1
7424.795392543196	2	2	2	1
7437.890269778721	3	3	3	2
7450.985147014248	2	2	2	2
7464.080024249773	2	1	1	1
7477.1749014852985	3	2	2	2
7490.269778720824	3	3	3	2
7503.36465595635	3	3	3	3
7516.459533191876	3	3	2	2
7529.554410427402	3	3	2	2
7542.649287662927	3	2	2	2
7555.744164898454	3	3	3	3
7568.839042133981	3	2	2	2
7581.933919369506	4	4	3	3
7595.028796605033	2	2	2	1
7608.123673840558	2	2	2	1
7621.218551076084	2	2	1	1
7634.31342831161	2	2	2	1
7647.408305547136	3	2	2	2
7660.5031827826615	3	2	2	2
7673.598060018187	3	2	2	2
7686.692937253712	2	2	1	1
7699.787814489239	2	1	1	1
7712.882691724764	2	2	2	1
7725.977568960291	2	2	2	1
7739.072446195817	2	2	2	1
