Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 6966cf61793b241a0f178943 - minikube	Unknown Heuristic - Run None (Profile ?) 6966cf61793b241a0f178943 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 6966cf61793b241a0f178943 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 6966cf61793b241a0f178943 - minikube-m04
4040.2877697841727	2	2	1	1
4055.087358684481	3	3	3	3
4069.886947584789	2	2	2	2
4084.686536485098	2	2	2	2
4099.486125385406	2	2	2	2
4114.285714285714	3	3	2	2
4129.085303186022	3	2	2	2
4143.884892086331	4	4	3	3
4158.684480986639	2	2	2	2
4173.4840698869475	2	2	2	1
4188.283658787256	3	3	2	2
4203.083247687564	3	3	3	2
4217.882836587873	3	3	2	2
4232.682425488181	3	2	2	2
4247.482014388489	3	3	3	2
4262.281603288798	3	3	2	2
4277.081192189106	3	3	2	2
4291.880781089414	2	2	2	2
4306.680369989723	3	2	2	2
4321.479958890031	4	3	3	3
4336.279547790339	3	3	2	2
4351.079136690648	2	2	2	1
4365.878725590956	2	2	2	1
4380.678314491264	2	2	2	2
4395.477903391572	4	3	3	3
4410.277492291881	3	3	2	2
4425.077081192189	4	4	3	3
4439.876670092497	3	3	3	2
4454.676258992806	3	2	2	2
4469.4758478931135	3	3	2	2
4484.275436793422	3	3	3	3
4499.075025693731	3	3	3	2
4513.874614594039	3	3	2	2
4528.674203494347	3	3	2	2
4543.473792394656	3	2	2	2
4558.273381294964	2	2	2	2
4573.072970195272	3	3	3	2
4587.872559095581	3	3	3	2
4602.672147995889	3	3	2	2
4617.471736896197	2	2	2	2
4632.271325796506	3	3	3	2
4647.070914696814	3	2	2	2
4661.8705035971225	2	2	2	2
4676.670092497431	3	3	3	2
4691.469681397739	3	3	2	2
4706.269270298048	3	3	2	2
4721.068859198356	2	2	2	1
4735.868448098664	3	3	3	2
4750.668036998972	3	2	2	2
4765.46762589928	3	2	2	2
4780.267214799589	2	2	2	2
4795.066803699897	2	2	1	1
4809.8663926002055	3	3	3	2
4824.665981500514	3	2	2	2
4839.465570400822	3	3	2	2
4854.265159301131	3	2	2	2
4869.064748201438	3	3	2	2
4883.864337101747	2	2	2	1
4898.663926002056	2	2	2	2
4913.463514902363	3	3	3	3
4928.263103802672	3	2	2	2
4943.062692702981	3	3	2	2
4957.8622816032885	3	3	3	2
4972.661870503597	3	3	2	2
4987.461459403906	3	3	2	2
5002.261048304214	3	3	2	2
5017.060637204522	3	3	2	2
5031.860226104831	3	3	2	2
5046.659815005139	3	3	3	2
5061.459403905447	2	2	2	2
5076.258992805756	1	1	1	1
5091.058581706064	3	2	2	2
5105.8581706063715	2	1	1	1
5120.657759506681	2	2	2	2
5135.457348406989	2	2	2	2
5150.2569373072965	2	2	1	1
5165.056526207605	2	2	2	2
5179.856115107914	2	2	1	1
5194.655704008222	4	3	3	3
5209.45529290853	4	4	4	3
5224.254881808839	2	2	2	2
5239.054470709147	2	2	2	2
5253.854059609455	3	3	2	2
5268.653648509763	3	3	3	2
5283.453237410072	4	3	3	3
5298.25282631038	3	3	3	2
5313.052415210688	2	2	2	1
5327.852004110997	2	2	2	1
5342.6515930113055	2	2	2	2
5357.451181911613	3	3	3	3
5372.250770811922	3	3	3	2
5387.050359712231	3	3	3	3
5401.849948612539	4	3	3	3
5416.649537512847	3	3	2	2
5431.449126413156	4	3	3	3
5446.248715313464	3	3	2	2
5461.048304213771	3	3	3	3
5475.847893114081	4	3	3	3
5490.647482014388	3	3	3	3
5505.447070914696	3	3	3	3
5520.246659815006	4	4	4	3
5535.046248715313	4	4	4	3
5549.845837615621	4	3	3	3
5564.64542651593	4	3	3	3
5579.445015416238	3	3	3	3
5594.244604316546	3	2	2	2
5609.044193216855	2	2	2	1
5623.843782117163	3	3	2	2
5638.6433710174715	4	4	3	3
5653.44295991778	3	3	2	2
5668.242548818088	3	3	3	2
5683.042137718397	3	3	2	2
5697.841726618705	3	3	3	2
5712.641315519013	3	3	3	3
5727.440904419322	3	2	2	2
5742.240493319629	3	2	2	2
5757.040082219938	2	2	2	1
5771.839671120247	2	2	2	1
5786.6392600205545	2	2	2	2
5801.438848920863	3	3	3	3
5816.238437821172	4	3	3	3
5831.03802672148	2	2	1	1
