Relative Time (Process)	Greedy Latency Heuristic - Run None (Profile ?) 69610ff2343f3358e1a3d387 - minikube	Greedy Latency Heuristic - Run None (Profile ?) 69610ff2343f3358e1a3d387 - minikube-m02	Greedy Latency Heuristic - Run None (Profile ?) 69610ff2343f3358e1a3d387 - minikube-m03	Greedy Latency Heuristic - Run None (Profile ?) 69610ff2343f3358e1a3d387 - minikube-m04
3137.5163709965473	4	4	4	4
3147.8033099178474	4	3	3	3
3158.0902488391475	4	4	4	4
3168.3771877604477	4	4	4	4
3178.664126681748	4	4	4	4
3188.951065603048	4	4	4	4
3199.2380045243485	4	4	4	4
3209.524943445648	4	3	3	3
3219.8118823669483	4	4	4	4
3230.098821288249	4	4	4	4
3240.3857602095486	4	4	4	4
3250.6726991308487	4	4	4	4
3260.9596380521493	4	4	4	4
3271.246576973449	4	3	3	3
3281.533515894749	4	4	4	4
3291.8204548160497	4	4	4	4
3302.1073937373494	4	4	4	4
3312.3943326586495	4	4	4	4
3322.68127157995	4	4	4	4
3332.96821050125	4	3	3	3
3343.2551494225504	4	4	4	4
3353.5420883438505	4	4	4	4
3363.8290272651507	4	4	4	4
3374.115966186451	4	4	4	4
3384.402905107751	4	4	4	4
3394.6898440290515	4	3	3	3
3404.976782950351	4	4	4	4
3415.2637218716513	4	4	4	4
3425.550660792952	4	4	4	4
3435.8375997142516	4	4	4	4
3446.1245386355517	4	4	4	4
3456.4114775568523	4	3	3	3
3466.698416478152	4	4	4	4
3476.985355399452	4	4	4	4
3487.2722943207527	4	4	4	4
3497.5592332420524	4	4	4	4
3507.8461721633525	4	4	4	4
3518.133111084653	4	3	3	3
3528.420050005953	4	4	4	4
3538.7069889272534	4	4	4	4
3548.9939278485535	4	4	4	4
3559.280866769853	4	4	4	4
3569.567805691154	4	4	4	4
3579.854744612454	4	3	3	3
3590.1416835337536	4	4	4	4
3600.428622455054	4	4	4	4
3610.7155613763543	4	4	4	4
3621.002500297654	4	4	4	4
3631.2894392189546	4	4	4	4
3641.5763781402547	4	3	3	3
3651.8633170615544	4	4	4	4
3662.150255982855	4	4	4	4
3672.437194904155	4	4	4	4
3682.7241338254557	4	4	4	4
3693.0110727467554	4	4	4	4
3703.298011668056	4	3	3	3
3713.584950589356	4	4	4	4
3723.871889510656	4	4	4	4
3734.1588284319564	4	4	4	4
3744.4457673532565	4	4	4	4
3754.732706274556	4	4	4	4
3765.019645195857	4	3	3	3
3775.306584117157	4	4	4	4
3785.5935230384566	4	4	4	4
3795.880461959757	4	4	4	4
3806.1674008810573	4	4	4	4
3816.454339802357	4	4	4	4
3826.7412787236576	4	3	3	3
3837.0282176449577	4	4	4	4
3847.315156566258	4	4	4	4
3857.602095487558	4	4	4	4
3867.889034408858	4	4	4	4
3878.1759733301583	4	4	4	4
3888.4629122514584	4	3	3	3
3898.749851172759	4	4	4	4
3909.0367900940587	4	4	4	4
3919.323729015359	4	4	4	4
3929.6106679366594	4	4	4	4
3939.897606857959	4	4	4	4
3950.184545779259	4	3	3	3
3960.47148470056	4	4	4	4
3970.75842362186	4	4	4	4
3981.0453625431596	4	4	4	4
3991.33230146446	4	4	4	4
4001.6192403857603	4	4	4	4
4011.90617930706	4	3	3	3
4022.1931182283606	4	4	4	4
4032.4800571496608	4	4	4	4
4042.766996070961	4	4	4	4
4053.053934992261	4	4	4	4
4063.340873913561	4	4	4	4
4073.6278128348613	4	3	3	3
4083.9147517561614	4	4	4	4
4094.201690677462	4	4	4	4
4104.488629598762	4	4	4	4
4114.775568520062	4	4	4	4
4125.062507441362	4	4	4	4
4135.349446362662	4	3	3	3
4145.636385283962	4	4	4	4
4155.923324205262	4	4	4	4
4166.2102631265625	4	4	4	4
4176.497202047863	4	4	4	4
4186.784140969163	4	4	4	4
4197.071079890463	4	3	3	3
4207.358018811763	4	4	4	4
4217.644957733063	4	4	4	4
4227.931896654363	4	4	4	4
4238.218835575663	4	4	4	4
4248.5057744969645	4	4	4	4
4258.792713418264	4	3	3	3
4269.079652339564	4	4	4	4
4279.366591260865	4	4	4	4
4289.653530182165	4	4	4	4
4299.940469103464	4	4	4	4
4310.227408024765	4	4	4	4
4320.514346946065	4	3	3	3
4330.801285867365	4	4	4	4
4341.088224788666	4	4	4	4
4351.375163709966	4	4	4	4
4361.662102631265	4	4	4	4
4371.949041552566	4	4	4	4
4382.235980473866	4	3	3	3
4392.522919395166	4	4	4	4
4402.8098583164665	4	4	4	4
4413.096797237767	4	4	4	4
4423.383736159067	4	4	4	4
4433.670675080367	4	4	4	4
4443.957614001667	4	3	3	3
4454.244552922967	4	4	4	4
4464.531491844267	4	4	4	4
4474.818430765567	4	4	4	4
4485.105369686868	4	4	4	4
4495.392308608168	4	4	4	4
4505.679247529468	4	3	3	3
4515.966186450768	4	4	4	4
4526.253125372068	4	4	4	4
4536.540064293368	4	4	4	4
4546.827003214668	4	4	4	4
4557.1139421359685	4	4	4	4
4567.400881057269	4	3	3	3
4577.687819978569	4	4	4	4
4587.974758899869	4	4	4	4
4598.261697821169	4	4	4	4
4608.54863674247	4	4	4	4
4618.835575663769	4	4	4	4
4629.122514585069	4	3	3	3
4639.4094535063705	4	4	4	4
4649.69639242767	4	4	4	4
4659.98333134897	4	4	4	4
4670.270270270271	4	4	4	4
4680.55720919157	4	4	4	4
4690.84414811287	4	3	3	3
4701.131087034171	4	4	4	4
4711.4180259554705	4	4	4	4
4721.704964876771	4	4	4	4
4731.991903798072	4	4	4	4
4742.278842719371	4	4	4	4
4752.565781640672	4	3	3	3
4762.852720561972	4	4	4	4
4773.139659483271	4	4	4	4
4783.426598404572	4	4	4	4
4793.7135373258725	4	4	4	4
4804.000476247172	4	4	4	4
4814.287415168473	4	3	3	3
4824.574354089773	4	4	4	4
4834.861293011072	4	4	4	4
4845.148231932373	4	4	4	4
4855.435170853673	4	4	4	4
4865.7221097749725	4	4	4	4
4876.009048696274	4	3	3	3
4886.295987617574	4	4	4	4
4896.582926538874	4	4	4	4
4906.869865460174	4	4	4	4
4917.156804381474	4	4	4	4
4927.443743302774	4	4	4	4
4937.730682224074	4	3	3	3
4948.0176211453745	4	4	4	4
4958.304560066675	4	4	4	4
4968.591498987975	4	4	4	4
4978.878437909275	4	4	4	4
4989.165376830575	4	4	4	4
4999.452315751875	4	3	3	3
5009.739254673175	4	4	4	4
5020.026193594475	4	4	4	4
5030.313132515776	4	4	4	4
5040.600071437076	4	4	4	4
5050.887010358376	4	4	4	4
5061.173949279676	4	3	3	3
5071.460888200976	4	4	4	4
5081.747827122276	4	4	4	4
5092.034766043576	4	4	4	4
5102.3217049648765	4	4	4	4
5112.608643886178	4	4	4	4
5122.895582807477	4	3	3	3
5133.182521728777	4	4	4	4
5143.469460650078	4	4	4	4
5153.756399571377	4	4	4	4
5164.043338492677	4	4	4	4
5174.330277413978	4	4	4	4
5184.617216335278	4	3	3	3
5194.904155256578	4	4	4	4
5205.191094177879	4	4	4	4
5215.478033099178	4	4	4	4
5225.764972020478	4	4	4	4
5236.051910941779	4	4	4	4
5246.338849863079	4	3	3	3
5256.6257887843785	4	4	4	4
5266.91272770568	4	4	4	4
5277.19966662698	4	4	4	4
5287.48660554828	4	4	4	4
5297.77354446958	4	4	4	4
5308.06048339088	4	3	3	3
5318.34742231218	4	4	4	4
5328.63436123348	4	4	4	4
5338.9213001547805	4	4	4	4
5349.208239076081	4	4	4	4
5359.495177997381	4	4	4	4
5369.782116918681	4	3	3	3
5380.069055839981	4	4	4	4
5390.355994761281	4	4	4	4
5400.642933682581	4	4	4	4
5410.929872603881	4	4	4	4
5421.2168115251825	4	4	4	4
5431.503750446482	4	3	3	3
5441.790689367782	4	4	4	4
5452.077628289083	4	4	4	4
5462.364567210382	4	4	4	4
5472.651506131682	4	4	4	4
5482.938445052983	4	4	4	4
5493.2253839742825	4	3	3	3
5503.512322895583	4	4	4	4
5513.799261816884	4	4	4	4
5524.086200738183	4	4	4	4
5534.373139659483	4	4	4	4
5544.660078580784	4	4	4	4
5554.947017502083	4	3	3	3
5565.2339564233835	4	4	4	4
5575.5208953446845	4	4	4	4
5585.807834265984	4	4	4	4
5596.094773187284	4	4	4	4
5606.381712108585	4	4	4	4
5616.668651029884	4	3	3	3
5626.955589951184	4	4	4	4
5637.242528872485	4	4	4	4
5647.529467793785	4	4	4	4
5657.816406715085	4	4	4	4
5668.103345636386	4	4	4	4
5678.390284557686	4	3	3	3
5688.677223478985	4	4	4	4
5698.964162400286	4	4	4	4
5709.251101321586	4	4	4	4
5719.5380402428855	4	4	4	4
5729.8249791641865	4	4	4	4
5740.111918085487	4	3	3	3
5750.398857006786	4	4	4	4
5760.685795928087	4	4	4	4
5770.972734849387	4	4	4	4
5781.259673770686	4	4	4	4
5791.546612691987	4	4	4	4
5801.833551613287	4	3	3	3
5812.120490534587	4	4	4	4
5822.407429455888	4	4	4	4
5832.694368377188	4	4	4	4
5842.981307298487	4	4	4	4
5853.268246219788	4	4	4	4
5863.555185141088	4	3	3	3
5873.8421240623875	4	4	4	4
5884.1290629836885	4	4	4	4
5894.416001904989	4	4	4	4
5904.702940826288	4	4	4	4
5914.989879747589	4	4	4	4
5925.276818668889	4	3	3	3
5935.563757590189	4	4	4	4
5945.850696511489	4	4	4	4
5956.1376354327895	4	4	4	4
5966.42457435409	4	4	4	4
5976.71151327539	4	4	4	4
5986.99845219669	4	3	3	3
5997.28539111799	4	4	4	4
6007.572330039291	4	4	4	4
6017.85926896059	4	4	4	4
6028.14620788189	4	4	4	4
6038.433146803191	4	4	4	4
6048.720085724491	4	3	3	3
6059.007024645792	4	4	4	4
6069.293963567092	4	4	4	4
6079.580902488391	4	4	4	4
6089.867841409692	4	4	4	4
6100.154780330992	4	4	4	4
6110.4417192522915	4	3	3	3
6120.7286581735925	4	4	4	4
6131.015597094893	4	4	4	4
6141.302536016192	4	4	4	4
6151.589474937493	4	4	4	4
6161.876413858793	4	4	4	4
6172.163352780092	4	3	3	3
6182.450291701393	4	4	4	4
6192.7372306226935	4	4	4	4
6203.024169543993	4	4	4	4
6213.311108465294	4	4	4	4
6223.598047386594	4	4	4	4
6233.884986307893	4	3	3	3
6244.171925229194	4	4	4	4
6254.458864150494	4	4	4	4
6264.7458030717935	4	4	4	4
6275.0327419930945	4	4	4	4
6285.319680914395	4	4	4	4
6295.606619835695	4	3	3	3
6305.893558756995	4	4	4	4
6316.180497678295	4	4	4	4
6326.467436599595	4	4	4	4
6336.754375520895	4	4	4	4
6347.0413144421955	4	4	4	4
6357.328253363496	4	3	3	3
6367.615192284797	4	4	4	4
6377.902131206096	4	4	4	4
6388.189070127396	4	4	4	4
6398.476009048697	4	4	4	4
6408.762947969996	4	4	4	4
6419.049886891296	4	3	3	3
6429.336825812597	4	4	4	4
6439.623764733897	4	4	4	4
6449.910703655197	4	4	4	4
6460.197642576498	4	4	4	4
6470.484581497797	4	4	4	4
6480.771520419097	4	3	3	3
6491.058459340398	4	4	4	4
6501.3453982616975	4	4	4	4
6511.632337182998	4	4	4	4
