Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695c6acb8c72832fd1fbcc95 - minikube	Unknown Heuristic - Run None (Profile ?) 695c6acb8c72832fd1fbcc95 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695c6acb8c72832fd1fbcc95 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695c6acb8c72832fd1fbcc95 - minikube-m04
3066.004258339248	3	3	2	2
3076.224272533712	3	3	3	3
3086.444286728176	3	3	3	3
3096.6643009226405	3	3	3	3
3106.884315117104	3	3	3	3
3117.1043293115686	3	3	3	3
3127.324343506033	3	3	2	2
3137.5443577004967	3	3	3	3
3147.764371894961	3	3	3	3
3157.984386089425	3	3	3	3
3168.2044002838893	3	3	3	3
3178.4244144783534	3	3	3	3
3188.6444286728174	3	3	2	2
3198.864442867282	3	3	3	3
3209.084457061746	3	3	3	3
3219.30447125621	3	3	3	3
3229.524485450674	3	3	3	3
3239.7444996451386	3	3	3	3
3249.964513839602	3	3	2	2
3260.1845280340667	3	3	3	3
3270.404542228531	3	3	3	3
3280.624556422995	3	3	3	3
3290.8445706174593	3	3	3	3
3301.064584811923	3	3	3	3
3311.2845990063875	3	3	2	2
3321.504613200852	3	3	3	3
3331.7246273953156	3	3	3	3
3341.94464158978	3	3	3	3
3352.164655784244	3	3	3	3
3362.384669978708	3	3	3	3
3372.6046841731722	3	3	2	2
3382.8246983676368	3	3	3	3
3393.044712562101	3	3	3	3
3403.264726756565	3	3	3	3
3413.4847409510294	3	3	3	3
3423.704755145493	3	3	3	3
3433.9247693399575	3	3	2	2
3444.144783534421	3	3	3	3
3454.3647977288856	3	3	3	3
3464.58481192335	3	3	3	3
3474.8048261178137	3	3	3	3
3485.0248403122782	3	3	3	3
3495.2448545067423	3	3	2	2
3505.4648687012063	3	3	3	3
3515.684882895671	3	3	3	3
3525.904897090135	3	3	3	3
3536.124911284599	3	3	3	3
3546.344925479063	3	3	3	3
3556.5649396735275	3	3	2	2
3566.784953867991	3	3	3	3
3577.0049680624556	3	3	3	3
3587.22498225692	3	3	3	3
3597.4449964513838	3	3	3	3
3607.6650106458483	3	3	3	3
3617.885024840312	3	3	2	2
3628.1050390347764	3	3	3	3
3638.325053229241	3	3	3	3
3648.5450674237045	3	3	3	3
3658.765081618169	3	3	3	3
3668.985095812633	3	3	3	3
3679.205110007097	3	3	2	2
3689.425124201561	3	3	3	3
3699.6451383960257	3	3	3	3
3709.8651525904897	3	3	3	3
3720.085166784954	3	3	3	3
3730.3051809794183	3	3	3	3
3740.525195173882	3	3	2	2
3750.7452093683464	3	3	3	3
3760.96522356281	3	3	3	3
3771.1852377572745	3	3	3	3
3781.405251951739	3	3	3	3
3791.6252661462026	3	3	3	3
3801.845280340667	3	3	2	2
3812.065294535131	3	3	3	3
3822.2853087295953	3	3	3	3
3832.50532292406	3	3	3	3
3842.725337118524	3	3	3	3
3852.945351312988	3	3	3	3
3863.165365507452	3	3	2	2
3873.3853797019165	3	3	3	3
3883.60539389638	3	3	3	3
3893.8254080908446	3	3	3	3
3904.045422285309	3	3	3	3
3914.2654364797727	3	3	3	3
3924.485450674237	3	3	2	2
3934.705464868701	3	3	3	3
3944.9254790631653	3	3	3	3
3955.1454932576294	3	3	3	3
3965.3655074520934	3	3	3	3
