Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 69673bd752742e81ad8c3537 - minikube	Unknown Heuristic - Run None (Profile ?) 69673bd752742e81ad8c3537 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 69673bd752742e81ad8c3537 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 69673bd752742e81ad8c3537 - minikube-m04
6795.836887903089	2	2	1	1
6810.578399590514	1	1	1	1
6825.319911277939	3	3	2	2
6840.061422965365	3	3	3	2
6854.802934652789	3	3	3	2
6869.544446340215	3	3	3	3
6884.28595802764	3	3	3	3
6899.027469715065	3	3	2	2
6913.768981402491	3	3	3	2
6928.510493089916	3	3	2	2
6943.252004777342	3	3	3	2
6957.993516464768	3	3	2	2
6972.735028152193	4	3	3	3
6987.476539839618	3	3	2	2
7002.218051527043	2	2	2	2
7016.959563214468	2	2	1	1
7031.701074901894	2	2	1	1
7046.442586589319	4	4	4	3
7061.184098276744	3	3	3	3
7075.92560996417	3	3	2	2
7090.667121651595	3	2	2	2
7105.408633339021	3	2	2	2
7120.150145026447	3	3	2	2
7134.89165671387	2	2	2	2
7149.633168401297	2	1	1	1
7164.374680088722	2	1	1	1
7179.116191776147	4	3	3	3
7193.857703463573	3	3	3	2
7208.599215150998	2	2	1	1
7223.3407268384235	3	3	2	2
7238.082238525849	3	2	2	2
7252.823750213274	2	2	1	1
7267.5652619007005	3	3	2	2
7282.306773588124	3	3	3	2
7297.0482852755495	3	3	3	2
7311.789796962976	3	2	2	2
7326.531308650401	2	2	2	1
7341.2728203378265	2	2	1	1
7356.014332025252	3	3	3	2
7370.755843712677	3	2	2	2
7385.497355400103	2	2	2	2
7400.238867087528	2	2	2	2
7414.980378774952	3	3	2	2
7429.721890462378	2	2	2	1
7444.463402149803	3	3	2	2
7459.204913837229	3	3	3	2
7473.946425524655	3	3	3	2
7488.68793721208	3	3	3	3
7503.429448899506	3	2	2	2
7518.170960586931	2	2	2	1
7532.912472274356	3	3	3	2
7547.653983961782	3	3	2	2
7562.395495649206	4	3	3	3
7577.1370073366315	2	2	2	2
7591.878519024057	3	3	3	2
7606.620030711482	3	2	2	2
7621.361542398908	3	2	2	2
7636.103054086334	3	3	2	2
7650.844565773759	3	3	3	3
7665.586077461185	3	3	3	3
7680.32758914861	4	4	3	3
7695.0691008360345	3	3	3	2
7709.81061252346	3	3	2	2
7724.552124210885	2	2	2	2
7739.293635898311	4	3	3	3
