Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 6964999c042c898bacbaff30 - minikube	Unknown Heuristic - Run None (Profile ?) 6964999c042c898bacbaff30 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 6964999c042c898bacbaff30 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 6964999c042c898bacbaff30 - minikube-m04
5390.455991516436	2	2	2	2
5405.7264050901385	2	2	2	1
5420.996818663838	3	3	2	2
5436.26723223754	2	2	2	2
5451.537645811241	3	3	3	2
5466.808059384942	2	2	2	2
5482.078472958643	3	2	2	2
5497.348886532343	3	2	2	2
5512.619300106045	2	2	1	1
5527.889713679746	3	2	2	2
5543.160127253446	3	3	2	2
5558.4305408271475	3	3	3	2
5573.700954400849	2	2	1	1
5588.971367974549	2	2	1	1
5604.24178154825	3	3	2	2
5619.512195121952	2	2	2	2
5634.782608695652	3	3	2	2
5650.053022269353	3	2	2	2
5665.323435843054	4	3	3	3
5680.593849416755	3	3	2	2
5695.864262990456	3	3	2	2
5711.1346765641565	2	1	1	1
5726.405090137858	4	3	3	3
5741.675503711559	3	3	3	2
5756.945917285259	3	3	3	2
5772.216330858961	2	2	2	2
5787.486744432661	3	3	3	3
5802.757158006362	2	2	2	1
5818.027571580064	2	2	1	1
5833.297985153764	3	3	2	2
5848.568398727466	2	2	2	2
5863.838812301167	2	2	2	1
5879.109225874868	2	2	2	1
5894.379639448569	3	2	2	2
5909.650053022269	2	2	2	1
5924.9204665959705	3	3	3	2
5940.190880169672	3	2	2	2
5955.461293743372	2	2	2	2
5970.731707317073	2	2	2	2
5986.002120890775	3	3	3	2
6001.272534464475	4	3	3	3
6016.542948038176	4	4	4	3
6031.813361611877	4	4	3	3
6047.083775185578	3	3	3	2
6062.354188759279	3	3	3	2
6077.6246023329795	3	2	2	2
6092.895015906681	2	2	2	2
6108.165429480382	3	3	3	2
6123.435843054082	3	2	2	2
6138.706256627784	3	2	2	2
6153.976670201484	2	2	2	2
6169.247083775185	3	2	2	2
6184.5174973488865	4	3	3	3
6199.787910922587	2	2	2	2
6215.058324496288	3	2	2	2
6230.32873806999	2	2	2	2
6245.59915164369	2	2	1	1
6260.869565217392	4	4	3	3
6276.139978791091	3	3	3	3
6291.410392364794	3	3	3	2
6306.680805938495	2	2	2	1
6321.951219512195	2	1	1	1
6337.221633085896	4	4	3	3
6352.492046659598	3	3	3	2
6367.762460233298	2	2	2	1
6383.032873806999	3	2	2	2
6398.3032873807	3	3	3	2
6413.573700954401	2	2	2	2
6428.844114528102	3	3	3	2
6444.1145281018025	3	3	3	3
6459.384941675504	3	2	2	2
6474.655355249205	3	3	3	3
6489.925768822905	3	3	2	2
6505.196182396607	2	2	2	2
6520.466595970307	3	3	2	2
6535.737009544008	3	3	2	2
6551.00742311771	2	2	2	1
6566.27783669141	2	2	2	2
6581.548250265111	2	2	1	1
6596.818663838812	2	2	1	1
6612.089077412513	3	3	3	2
6627.359490986214	3	3	3	3
6642.629904559914	3	3	3	3
6657.900318133616	3	3	3	3
6673.170731707318	3	3	2	2
6688.441145281017	3	2	2	2
6703.711558854719	2	2	2	1
6718.981972428421	2	2	2	2
6734.252386002121	4	3	3	3
6749.522799575822	3	2	2	2
