Relative Time (Process)	Static Heuristic - Run None (Profile ?) 696115601f10a0f571a4b7f0 - minikube	Static Heuristic - Run None (Profile ?) 696115601f10a0f571a4b7f0 - minikube-m02	Static Heuristic - Run None (Profile ?) 696115601f10a0f571a4b7f0 - minikube-m03	Static Heuristic - Run None (Profile ?) 696115601f10a0f571a4b7f0 - minikube-m04
4455.810667608619	3	3	2	2
4465.98375132462	3	3	3	3
4476.156835040621	3	3	3	3
4486.329918756624	3	3	3	3
4496.503002472625	3	3	3	3
4506.676086188626	3	3	3	3
4516.849169904628	3	3	2	2
4527.022253620628	3	3	3	3
4537.1953373366305	3	3	3	3
4547.368421052632	3	3	3	3
4557.541504768633	3	3	3	3
4567.714588484635	3	3	3	3
4577.887672200635	3	3	2	2
4588.060755916637	3	3	3	3
4598.233839632639	3	3	3	3
4608.40692334864	3	3	3	3
4618.580007064642	3	3	3	3
4628.753090780643	3	3	3	3
4638.926174496644	3	3	2	2
4649.0992582126455	3	3	3	3
4659.272341928647	3	3	3	3
4669.445425644649	3	3	3	3
4679.61850936065	3	3	3	3
4689.791593076651	3	3	3	3
4699.964676792652	3	3	2	2
4710.1377605086545	3	3	3	3
4720.310844224656	3	3	3	3
4730.483927940657	3	3	3	3
4740.657011656659	3	3	3	3
4750.830095372659	3	3	3	3
4761.003179088661	3	3	2	2
4771.176262804663	3	3	3	3
4781.349346520664	3	3	3	3
4791.522430236666	3	3	3	3
4801.695513952666	3	3	3	3
4811.868597668668	3	3	3	3
4822.04168138467	3	3	2	2
4832.214765100671	3	3	3	3
4842.387848816673	3	3	3	3
4852.560932532674	3	3	3	3
4862.734016248675	3	3	3	3
4872.9070999646765	3	3	3	3
4883.080183680678	3	3	2	2
4893.25326739668	3	3	3	3
4903.426351112681	3	3	3	3
4913.599434828682	3	3	3	3
4923.772518544683	3	3	3	3
4933.9456022606855	3	3	3	3
4944.118685976687	3	3	2	2
4954.291769692688	3	3	3	3
4964.46485340869	3	3	3	3
4974.63793712469	3	3	3	3
4984.811020840692	3	3	3	3
4994.984104556694	3	3	3	3
5005.157188272695	3	3	2	2
5015.330271988697	3	3	3	3
5025.503355704698	3	3	3	3
5035.676439420699	3	3	3	3
5045.849523136701	3	3	3	3
5056.022606852702	3	3	3	3
5066.195690568704	3	3	2	2
5076.368774284705	3	3	3	3
5086.541858000706	3	3	3	3
5096.714941716708	3	3	3	3
5106.88802543271	3	3	3	3
5117.061109148711	3	3	3	3
5127.234192864712	3	3	2	2
5137.407276580713	3	3	3	3
5147.580360296715	3	3	3	3
5157.7534440127165	3	3	3	3
5167.926527728718	3	3	3	3
5178.099611444719	3	3	3	3
5188.272695160721	3	3	2	2
5198.445778876722	3	3	3	3
5208.618862592723	3	3	3	3
5218.7919463087255	3	3	3	3
5228.965030024726	3	3	3	3
5239.138113740728	3	3	3	3
5249.311197456729	3	3	2	2
5259.48428117273	3	3	3	3
5269.657364888732	3	3	3	3
