Relative Time (Process)	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube-m02	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube-m03	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube-m04
2793.8901527461812	1	1	1	1
2807.9298017549563	1	1	1	1
2821.969450763731	4	4	4	4
2836.0090997725056	1	1	1	1
2850.0487487812807	1	1	1	1
2864.0883977900553	1	1	1	1
2878.1280467988304	1	1	1	1
2892.167695807605	1	1	1	1
2906.2073448163796	4	4	4	4
2920.2469938251547	1	1	1	1
2934.2866428339294	1	1	1	1
2948.3262918427035	1	1	1	1
2962.365940851479	1	1	1	1
2976.4055898602533	1	1	1	1
2990.445238869028	4	4	4	4
3004.4848878778034	1	1	1	1
3018.5245368865776	1	1	1	1
3032.5641858953522	1	1	1	1
3046.6038349041273	1	1	1	1
3060.643483912902	1	1	1	1
3074.683132921677	4	4	4	4
3088.7227819304517	1	1	1	1
3102.7624309392263	1	1	1	1
3116.8020799480014	1	1	1	1
3130.841728956776	1	1	1	1
3144.8813779655507	1	1	1	1
3158.9210269743257	4	4	4	4
3172.9606759831004	1	1	1	1
3187.000324991875	1	1	1	1
3201.03997400065	1	1	1	1
3215.0796230094247	1	1	1	1
3229.1192720181994	1	1	1	1
3243.1589210269744	4	4	4	4
3257.198570035749	1	1	1	1
3271.2382190445237	1	1	1	1
3285.277868053299	1	1	1	1
3299.3175170620734	1	1	1	1
3313.3571660708485	1	1	1	1
3327.396815079623	4	4	4	4
3341.4364640883978	1	1	1	1
3355.476113097173	1	1	1	1
3369.5157621059475	1	1	1	1
3383.555411114722	1	1	1	1
3397.595060123497	1	1	1	1
3411.634709132272	4	4	4	4
3425.6743581410465	1	1	1	1
3439.7140071498216	1	1	1	1
3453.753656158596	1	1	1	1
3467.7933051673704	1	1	1	1
3481.832954176146	1	1	1	1
3495.87260318492	4	4	4	4
3509.9122521936947	1	1	1	1
3523.9519012024703	1	1	1	1
3537.9915502112444	1	1	1	1
3552.03119922002	1	1	1	1
3566.070848228794	1	1	1	1
3580.110497237569	4	4	4	4
3594.150146246344	1	1	1	1
3608.1897952551185	1	1	1	1
3622.229444263893	1	1	1	1
3636.269093272668	1	1	1	1
3650.308742281443	1	1	1	1
3664.3483912902175	4	4	4	4
3678.3880402989926	1	1	1	1
3692.427689307767	1	1	1	1
3706.467338316542	1	1	1	1
3720.506987325317	1	1	1	1
3734.5466363340915	1	1	1	1
3748.586285342866	4	4	4	4
3762.6259343516413	1	1	1	1
3776.665583360416	1	1	1	1
3790.705232369191	1	1	1	1
3804.7448813779656	1	1	1	1
3818.7845303867402	1	1	1	1
3832.8241793955153	4	4	4	4
3846.86382840429	1	1	1	1
3860.9034774130646	1	1	1	1
3874.9431264218397	1	1	1	1
3888.9827754306143	1	1	1	1
3903.022424439389	1	1	1	1
3917.062073448164	4	4	4	4
3931.1017224569387	1	1	1	1
3945.1413714657133	1	1	1	1
3959.1810204744884	1	1	1	1
3973.220669483263	1	1	1	1
3987.260318492038	1	1	1	1
4001.2999675008127	4	4	4	4
4015.339616509587	1	1	1	1
4029.3792655183624	1	1	1	1
4043.418914527137	1	1	1	1
4057.4585635359113	1	1	1	1
4071.498212544687	1	1	1	1
