Relative Time (Process)	Optimized Balance Heuristic - Run None (Profile ?) 695e6691d7b750641eaea21b - minikube	Optimized Balance Heuristic - Run None (Profile ?) 695e6691d7b750641eaea21b - minikube-m02	Optimized Balance Heuristic - Run None (Profile ?) 695e6691d7b750641eaea21b - minikube-m03	Optimized Balance Heuristic - Run None (Profile ?) 695e6691d7b750641eaea21b - minikube-m04
3307.7045780826284	1	1	1	1
3321.4866804913063	1	1	1	1
3335.268782899984	1	1	1	1
3349.0508853086617	4	4	4	4
3362.8329877173396	1	1	1	1
3376.6150901260166	1	1	1	1
3390.3971925346946	1	1	1	1
3404.179294943372	1	1	1	1
3417.96139735205	1	1	1	1
3431.7434997607274	4	4	4	4
3445.525602169405	1	1	1	1
3459.3077045780824	1	1	1	1
3473.0898069867603	1	1	1	1
3486.871909395438	1	1	1	1
3500.6540118041157	1	1	1	1
3514.4361142127927	4	4	4	4
3528.2182166214707	1	1	1	1
3542.0003190301486	1	1	1	1
3555.782421438826	1	1	1	1
3569.564523847504	1	1	1	1
3583.346626256181	1	1	1	1
3597.128728664859	4	4	4	4
3610.9108310735364	1	1	1	1
3624.6929334822144	1	1	1	1
3638.4750358908914	1	1	1	1
3652.2571382995693	1	1	1	1
3666.039240708247	1	1	1	1
3679.8213431169247	4	4	4	4
3693.6034455256017	1	1	1	1
3707.3855479342797	1	1	1	1
3721.167650342957	1	1	1	1
3734.949752751635	1	1	1	1
3748.731855160313	1	1	1	1
3762.51395756899	4	4	4	4
3776.296059977668	1	1	1	1
3790.0781623863454	1	1	1	1
3803.8602647950233	1	1	1	1
3817.642367203701	1	1	1	1
3831.4244696123783	1	1	1	1
3845.2065720210558	4	4	4	4
3858.9886744297337	1	1	1	1
3872.770776838411	1	1	1	1
3886.552879247089	1	1	1	1
3900.334981655766	1	1	1	1
3914.117084064444	1	1	1	1
3927.899186473122	4	4	4	4
3941.6812888817994	1	1	1	1
3955.4633912904774	1	1	1	1
3969.2454936991544	1	1	1	1
3983.0275961078323	1	1	1	1
3996.80969851651	1	1	1	1
4010.5918009251877	4	4	4	4
4024.3739033338647	1	1	1	1
4038.1560057425427	1	1	1	1
4051.93810815122	1	1	1	1
4065.720210559898	1	1	1	1
4079.502312968575	1	1	1	1
4093.284415377253	4	4	4	4
4107.06651778593	1	1	1	1
4120.848620194608	1	1	1	1
4134.630722603286	1	1	1	1
4148.412825011964	1	1	1	1
4162.194927420642	1	1	1	1
4175.977029829319	4	4	4	4
4189.759132237997	1	1	1	1
4203.541234646674	1	1	1	1
4217.323337055352	1	1	1	1
4231.10543946403	1	1	1	1
4244.8875418727075	1	1	1	1
4258.6696442813845	4	4	4	4
4272.4517466900625	1	1	1	1
4286.2338490987395	1	1	1	1
4300.015951507417	1	1	1	1
4313.798053916095	1	1	1	1
4327.580156324772	1	1	1	1
4341.36225873345	4	4	4	4
4355.144361142128	1	1	1	1
4368.926463550806	1	1	1	1
4382.708565959483	1	1	1	1
4396.490668368161	1	1	1	1
4410.272770776838	1	1	1	1
4424.054873185516	4	4	4	4
4437.836975594193	1	1	1	1
4451.619078002871	1	1	1	1
4465.401180411549	1	1	1	1
4479.183282820227	1	1	1	1
4492.965385228904	1	1	1	1
4506.747487637582	4	4	4	4
4520.52959004626	1	1	1	1
4534.311692454937	1	1	1	1
4548.093794863615	1	1	1	1
4561.875897272292	1	1	1	1
4575.65799968097	1	1	1	1
4589.440102089648	4	4	4	4
4603.2222044983255	1	1	1	1
4617.0043069070025	1	1	1	1
4630.78640931568	1	1	1	1
4644.568511724357	1	1	1	1
4658.350614133035	1	1	1	1
4672.132716541713	4	4	4	4
4685.914818950391	1	1	1	1
4699.696921359068	1	1	1	1
4713.479023767746	1	1	1	1
4727.261126176424	1	1	1	1
4741.043228585101	1	1	1	1
4754.825330993779	4	4	4	4
4768.607433402456	1	1	1	1
4782.389535811134	1	1	1	1
4796.171638219812	1	1	1	1
4809.95374062849	1	1	1	1
4823.735843037167	1	1	1	1
4837.517945445845	4	4	4	4
4851.300047854522	1	1	1	1
4865.0821502632	1	1	1	1
4878.864252671877	1	1	1	1
4892.646355080555	1	1	1	1
4906.428457489233	1	1	1	1
4920.210559897911	4	4	4	4
4933.9926623065885	1	1	1	1
4947.7747647152655	1	1	1	1
