Relative Time (Process)	Optimized Balance Heuristic - Run None (Profile ?) 695e6241bdbf9c98406a584d - minikube	Optimized Balance Heuristic - Run None (Profile ?) 695e6241bdbf9c98406a584d - minikube-m02	Optimized Balance Heuristic - Run None (Profile ?) 695e6241bdbf9c98406a584d - minikube-m03	Optimized Balance Heuristic - Run None (Profile ?) 695e6241bdbf9c98406a584d - minikube-m04
6637.696834738349	4	4	4	4
6651.439478288532	1	1	1	1
6665.182121838715	1	1	1	1
6678.924765388898	1	1	1	1
6692.66740893908	1	1	1	1
6706.410052489263	1	1	1	1
6720.152696039446	4	4	4	4
6733.895339589629	1	1	1	1
6747.637983139813	1	1	1	1
6761.380626689996	1	1	1	1
6775.1232702401785	1	1	1	1
6788.865913790361	1	1	1	1
6802.608557340544	4	4	4	4
6816.351200890727	1	1	1	1
6830.09384444091	1	1	1	1
6843.836487991092	1	1	1	1
6857.579131541275	1	1	1	1
6871.321775091458	1	1	1	1
6885.064418641641	4	4	4	4
6898.807062191824	1	1	1	1
6912.549705742007	1	1	1	1
6926.29234929219	1	1	1	1
6940.034992842373	1	1	1	1
6953.777636392556	1	1	1	1
6967.52027994274	4	4	4	4
6981.262923492923	1	1	1	1
6995.005567043106	1	1	1	1
7008.748210593288	1	1	1	1
7022.490854143471	1	1	1	1
7036.233497693654	1	1	1	1
7049.9761412438365	4	4	4	4
7063.7187847940195	1	1	1	1
7077.461428344202	1	1	1	1
7091.204071894385	1	1	1	1
7104.946715444568	1	1	1	1
7118.68935899475	1	1	1	1
7132.432002544933	4	4	4	4
7146.174646095116	1	1	1	1
7159.917289645299	1	1	1	1
7173.659933195482	1	1	1	1
7187.402576745666	1	1	1	1
7201.145220295849	1	1	1	1
7214.887863846032	4	4	4	4
7228.630507396215	1	1	1	1
7242.373150946398	1	1	1	1
7256.115794496581	1	1	1	1
7269.858438046764	1	1	1	1
7283.601081596946	1	1	1	1
7297.343725147129	4	4	4	4
7311.086368697312	1	1	1	1
7324.829012247495	1	1	1	1
7338.5716557976775	1	1	1	1
7352.3142993478605	1	1	1	1
7366.056942898043	1	1	1	1
7379.799586448226	4	4	4	4
7393.542229998409	1	1	1	1
7407.284873548593	1	1	1	1
7421.027517098776	1	1	1	1
7434.770160648958	1	1	1	1
7448.512804199141	1	1	1	1
7462.255447749324	4	4	4	4
7475.998091299507	1	1	1	1
7489.74073484969	1	1	1	1
7503.483378399873	1	1	1	1
7517.226021950056	1	1	1	1
7530.968665500239	1	1	1	1
7544.711309050422	4	4	4	4
7558.453952600604	1	1	1	1
7572.196596150787	1	1	1	1
7585.93923970097	1	1	1	1
7599.681883251153	1	1	1	1
7613.424526801336	1	1	1	1
7627.167170351519	4	4	4	4
7640.909813901702	1	1	1	1
7654.652457451885	1	1	1	1
7668.395101002068	1	1	1	1
7682.137744552251	1	1	1	1
7695.880388102434	1	1	1	1
7709.623031652616	4	4	4	4
7723.365675202799	1	1	1	1
7737.108318752982	1	1	1	1
7750.850962303165	1	1	1	1
7764.593605853348	1	1	1	1
7778.336249403531	1	1	1	1
7792.078892953714	4	4	4	4
7805.821536503897	1	1	1	1
7819.56418005408	1	1	1	1
7833.306823604262	1	1	1	1
7847.049467154447	1	1	1	1
7860.7921107046295	1	1	1	1
7874.534754254812	4	4	4	4
7888.2773978049945	1	1	1	1
7902.020041355177	1	1	1	1
7915.76268490536	1	1	1	1
7929.505328455543	1	1	1	1
7943.247972005726	1	1	1	1
7956.990615555909	4	4	4	4
7970.733259106092	1	1	1	1
7984.475902656275	1	1	1	1
7998.218546206457	1	1	1	1
8011.96118975664	1	1	1	1
8025.703833306823	1	1	1	1
8039.446476857006	4	4	4	4
8053.189120407189	1	1	1	1
8066.931763957373	1	1	1	1
8080.674407507556	1	1	1	1
8094.417051057739	1	1	1	1
8108.159694607922	1	1	1	1
8121.902338158105	4	4	4	4
8135.644981708288	1	1	1	1
8149.38762525847	1	1	1	1
8163.1302688086525	1	1	1	1
8176.8729123588355	1	1	1	1
8190.615555909018	1	1	1	1
8204.3581994592	4	4	4	4
8218.100843009384	1	1	1	1
8231.843486559566	1	1	1	1
8245.58613010975	1	1	1	1
8259.328773659932	1	1	1	1
8273.071417210116	1	1	1	1
8286.8140607603	4	4	4	4
8300.556704310482	1	1	1	1
8314.299347860666	1	1	1	1
8328.041991410848	1	1	1	1
8341.784634961032	1	1	1	1
8355.527278511214	1	1	1	1
8369.269922061396	4	4	4	4
8383.01256561158	1	1	1	1
8396.755209161762	1	1	1	1
8410.497852711946	1	1	1	1
8424.240496262128	1	1	1	1
8437.983139812311	1	1	1	1
8451.725783362494	4	4	4	4
8465.468426912677	1	1	1	1
8479.21107046286	1	1	1	1
8492.953714013041	1	1	1	1
8506.696357563225	1	1	1	1
8520.43900111341	1	1	1	1
8534.181644663591	4	4	4	4
8547.924288213775	1	1	1	1
8561.666931763957	1	1	1	1
8575.409575314141	1	1	1	1
8589.152218864323	1	1	1	1
8602.894862414507	1	1	1	1
8616.637505964689	4	4	4	4
8630.380149514873	1	1	1	1
8644.122793065055	1	1	1	1
8657.865436615237	1	1	1	1
8671.60808016542	1	1	1	1
8685.350723715603	1	1	1	1
8699.093367265787	4	4	4	4
8712.836010815969	1	1	1	1
8726.578654366152	1	1	1	1
8740.321297916336	1	1	1	1
8754.063941466518	1	1	1	1
8767.806585016702	1	1	1	1
8781.549228566884	4	4	4	4
8795.291872117066	1	1	1	1
8809.03451566725	1	1	1	1
8822.777159217432	1	1	1	1
8836.519802767616	1	1	1	1
8850.262446317798	1	1	1	1
8864.005089867982	4	4	4	4
8877.747733418164	1	1	1	1
8891.490376968348	1	1	1	1
8905.23302051853	1	1	1	1
8918.975664068712	1	1	1	1
8932.718307618896	1	1	1	1
8946.460951169078	4	4	4	4
8960.203594719262	1	1	1	1
8973.946238269446	1	1	1	1
8987.688881819628	1	1	1	1
9001.431525369811	1	1	1	1
9015.174168919993	1	1	1	1
9028.916812470177	4	4	4	4
9042.65945602036	1	1	1	1
9056.402099570543	1	1	1	1
9070.144743120725	1	1	1	1
9083.887386670907	1	1	1	1
9097.630030221091	1	1	1	1
9111.372673771273	4	4	4	4
9125.115317321457	1	1	1	1
9138.857960871639	1	1	1	1
9152.600604421823	1	1	1	1
9166.343247972005	1	1	1	1
9180.085891522189	1	1	1	1
9193.828535072373	4	4	4	4
9207.571178622555	1	1	1	1
9221.313822172739	1	1	1	1
9235.05646572292	1	1	1	1
9248.799109273103	1	1	1	1
9262.541752823287	1	1	1	1
9276.284396373469	4	4	4	4
9290.027039923652	1	1	1	1
9303.769683473834	1	1	1	1
9317.512327024018	1	1	1	1
9331.2549705742	1	1	1	1
