Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695c7302c05fc25fbbedff03 - minikube	Unknown Heuristic - Run None (Profile ?) 695c7302c05fc25fbbedff03 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695c7302c05fc25fbbedff03 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695c7302c05fc25fbbedff03 - minikube-m04
1544.135361581089	4	4	4	4
1554.3153969284338	4	4	4	4
1564.4954322757785	4	4	4	4
1574.6754676231233	4	4	4	4
1584.855502970468	4	4	4	4
1585.065503699637	4	3	3	3
1595.2655391164267	4	4	4	4
1605.4455744637714	4	4	4	4
1615.6256098111162	4	4	4	4
1625.805645158461	4	4	4	4
1635.9856805058057	4	4	4	4
1636.1956812349747	4	3	3	3
1646.3957166517641	4	4	4	4
1656.5757519991091	4	4	4	4
1666.7557873464539	4	4	4	4
1676.9358226937986	4	4	4	4
1687.1158580411434	4	4	4	4
1687.3258587703124	4	3	3	3
1697.5258941871018	4	4	4	4
1707.7059295344468	4	4	4	4
1717.8859648817916	4	4	4	4
1728.0660002291363	4	4	4	4
1738.246035576481	4	4	4	4
1738.45603630565	4	3	3	3
1748.6560717224395	4	4	4	4
1758.8361070697842	4	4	4	4
1769.0161424171292	4	4	4	4
1779.196177764474	4	4	4	4
1789.3762131118187	4	4	4	4
1789.5862138409877	4	3	3	3
1799.7862492577772	4	4	4	4
1809.966284605122	4	4	4	4
1820.146319952467	4	4	4	4
1830.3263552998117	4	4	4	4
1840.5063906471564	4	4	4	4
1840.7163913763254	4	3	3	3
1850.926426827837	4	4	4	4
1861.1064621751818	4	4	4	4
1871.2864975225266	4	4	4	4
1881.4665328698713	4	4	4	4
1891.6465682172163	4	4	4	4
1891.8565689463853	4	3	3	3
1902.0466043284525	4	4	4	4
1912.2266396757973	4	4	4	4
1922.406675023142	4	4	4	4
1932.586710370487	4	4	4	4
1942.7667457178318	4	4	4	4
1942.9767464470008	4	3	3	3
1953.1667818290678	4	4	4	4
1963.3468171764125	4	4	4	4
1973.5268525237573	4	4	4	4
1983.706887871102	4	4	4	4
1993.8869232184468	4	4	4	4
1994.096923947616	4	3	3	3
2004.2869593296832	4	4	4	4
2014.466994677028	4	4	4	4
2024.6470300243727	4	4	4	4
2034.8270653717175	4	4	4	4
2045.0071007190625	4	4	4	4
2045.2271014829535	4	3	3	3
2055.4171368650204	4	4	4	4
2065.597172212369	4	4	4	4
2075.777207559718	4	4	4	4
2085.9572429070668	4	4	4	4
2096.137278254416	4	4	4	4
2096.3472789835896	4	3	3	3
2106.537314365661	4	4	4	4
2116.7173497130098	4	4	4	4
2126.897385060359	4	4	4	4
2137.0774204077075	4	4	4	4
2147.2574557550565	4	4	4	4
2147.4674564842303	4	3	3	3
2157.6674919010243	4	4	4	4
2167.8475272483734	4	4	4	4
2178.027562595722	4	4	4	4
2188.207597943071	4	4	4	4
2198.38763329042	4	4	4	4
2198.597634019594	4	3	3	3
2208.797669436388	4	4	4	4
2218.9777047837365	4	4	4	4
2229.1577401310856	4	4	4	4
2239.3377754784347	4	4	4	4
2249.5178108257833	4	4	4	4
2249.727811554957	4	3	3	3
2259.927846971751	4	4	4	4
2270.1078823191	4	4	4	4
2280.2879176664487	4	4	4	4
2290.467953013798	4	4	4	4
2300.6479883611464	4	4	4	4
2300.85798909032	4	3	3	3
2311.058024507114	4	4	4	4
2321.2380598544632	4	4	4	4
2331.418095201812	4	4	4	4
2341.598130549161	4	4	4	4
2351.77816589651	4	4	4	4
2351.988166625684	4	3	3	3
2362.1882020424778	4	4	4	4
2372.3682373898264	4	4	4	4
2382.5482727371755	4	4	4	4
2392.7283080845245	4	4	4	4
2402.908343431873	4	4	4	4
2403.118344161047	4	3	3	3
2413.318379577841	4	4	4	4
2423.49841492519	4	4	4	4
2433.678450272539	4	4	4	4
2443.8584856198877	4	4	4	4
2454.0385209672368	4	4	4	4
2454.2485216964105	4	3	3	3
2464.4485571132045	4	4	4	4
2474.6285924605536	4	4	4	4
2484.808627807902	4	4	4	4
2494.9886631552513	4	4	4	4
2505.1686985026	4	4	4	4
2505.3786992317737	4	3	3	3
2515.568734613845	4	4	4	4
2525.748769961194	4	4	4	4
2535.928805308543	4	4	4	4
2546.1088406558915	4	4	4	4
2556.2888760032406	4	4	4	4
2556.508876767137	4	3	3	3
2566.6989121492084	4	4	4	4
2576.8789474965574	4	4	4	4
2587.058982843906	4	4	4	4
2597.239018191255	4	4	4	4
2607.419053538604	4	4	4	4
2607.629054267778	4	3	3	3
2617.819089649849	4	4	4	4
2627.999124997198	4	4	4	4
2638.179160344547	4	4	4	4
2648.359195691896	4	4	4	4
2658.539231039245	4	4	4	4
2658.7492317684187	4	3	3	3
2668.9492671852126	4	4	4	4
2679.1293025325617	4	4	4	4
2689.3093378799103	4	4	4	4
2699.4893732272594	4	4	4	4
2709.669408574608	4	4	4	4
2709.879409303782	4	3	3	3
2720.0694446858533	4	4	4	4
2730.2494800332024	4	4	4	4
2740.429515380551	4	4	4	4
2750.6095507279	4	4	4	4
2760.7895860752487	4	4	4	4
2760.9995868044225	4	3	3	3
2771.199622221217	4	4	4	4
2781.3796575685656	4	4	4	4
2791.559692915914	4	4	4	4
2801.7397282632633	4	4	4	4
2811.9197636106123	4	4	4	4
2812.1297643397857	4	3	3	3
2822.3297997565796	4	4	4	4
2832.5098351039287	4	4	4	4
2842.689870451278	4	4	4	4
2852.869905798627	4	4	4	4
2863.049941145976	4	4	4	4
2863.2599418751493	4	3	3	3
2873.4599772919432	4	4	4	4
2883.6400126392923	4	4	4	4
2893.8200479866414	4	4	4	4
2904.00008333399	4	4	4	4
2914.1801186813386	4	4	4	4
2914.390119410513	4	3	3	3
2924.5801547925844	4	4	4	4
2934.760190139933	4	4	4	4
2944.940225487282	4	4	4	4
2955.1202608346307	4	4	4	4
2965.30029618198	4	4	4	4
2965.5102969111535	4	3	3	3
2975.700332293225	4	4	4	4
2985.8803676405737	4	4	4	4
2996.0604029879223	4	4	4	4
3006.2404383352714	4	4	4	4
3016.4204736826205	4	4	4	4
3016.6304744117942	4	3	3	3
3026.8205097938653	4	4	4	4
3037.0005451412144	4	4	4	4
3047.1805804885635	4	4	4	4
3057.3606158359125	4	4	4	4
3067.5406511832616	4	4	4	4
3067.7606519471574	4	3	3	3
3077.9606873639514	4	4	4	4
3088.1407227113004	4	4	4	4
3098.3207580586495	4	4	4	4
3108.5007934059986	4	4	4	4
3118.6808287533468	4	4	4	4
3118.890829482521	4	3	3	3
3129.0808648645925	4	4	4	4
3139.2609002119416	4	4	4	4
3149.44093555929	4	4	4	4
3159.620970906639	4	4	4	4
3169.801006253988	4	4	4	4
3170.0110069831617	4	3	3	3
3180.201042365233	4	4	4	4
3190.381077712582	4	4	4	4
3200.561113059931	4	4	4	4
3210.7411484072795	4	4	4	4
3220.9211837546286	4	4	4	4
3221.1311844838024	4	3	3	3
3231.321219865874	4	4	4	4
3241.5012552132225	4	4	4	4
3251.6812905605716	4	4	4	4
3261.8613259079207	4	4	4	4
3272.0413612552697	4	4	4	4
3272.251361984443	4	3	3	3
3282.4413973665146	4	4	4	4
3292.6214327138637	4	4	4	4
3302.8014680612127	4	4	4	4
3312.981503408561	4	4	4	4
3323.16153875591	4	4	4	4
3323.371539485084	4	3	3	3
3333.571574901878	4	4	4	4
3343.7516102492273	4	4	4	4
3353.9316455965754	4	4	4	4
3364.1116809439245	4	4	4	4
3374.2917162912736	4	4	4	4
3374.5017170204474	4	3	3	3
3384.7017524372413	4	4	4	4
3394.88178778459	4	4	4	4
3405.061823131939	4	4	4	4
3415.241858479288	4	4	4	4
3425.4218938266367	4	4	4	4
3425.6318945558105	4	3	3	3
3435.821929937882	4	4	4	4
3446.0019652852307	4	4	4	4
3456.1820006325797	4	4	4	4
3466.362035979929	4	4	4	4
3476.542071327278	4	4	4	4
3476.752072056451	4	3	3	3
3486.952107473245	4	4	4	4
3497.1321428205943	4	4	4	4
3507.3121781679433	4	4	4	4
3517.4922135152924	4	4	4	4
3527.6722488626406	4	4	4	4
3527.882249591815	4	3	3	3
3538.082285008609	4	4	4	4
3548.262320355958	4	4	4	4
3558.442355703307	4	4	4	4
3568.622391050655	4	4	4	4
3578.802426398004	4	4	4	4
3579.022427161901	4	3	3	3
3589.222462578695	4	4	4	4
3599.4024979260435	4	4	4	4
3609.5825332733925	4	4	4	4
3619.762568620741	4	4	4	4
3629.94260396809	4	4	4	4
3630.152604697264	4	3	3	3
3640.3426400793355	4	4	4	4
3650.522675426684	4	4	4	4
3660.702710774033	4	4	4	4
3670.882746121382	4	4	4	4
3681.062781468731	4	4	4	4
3681.2727821979047	4	3	3	3
3691.4628175799758	4	4	4	4
3701.642852927325	4	4	4	4
3711.822888274674	4	4	4	4
3722.002923622023	4	4	4	4
3732.182958969372	4	4	4	4
3732.3929596985454	4	3	3	3
3742.5929951153394	4	4	4	4
3752.7730304626884	4	4	4	4
3762.9530658100375	4	4	4	4
3773.1331011573866	4	4	4	4
3783.3131365047348	4	4	4	4
3783.523137233909	4	3	3	3
3793.723172650703	4	4	4	4
3803.903207998052	4	4	4	4
3814.0832433454007	4	4	4	4
3824.2632786927493	4	4	4	4
3834.4433140400984	4	4	4	4
3834.653314769272	4	3	3	3
3844.8433501513437	4	4	4	4
3855.0233854986923	4	4	4	4
3865.2034208460414	4	4	4	4
3875.38345619339	4	4	4	4
3885.563491540739	4	4	4	4
3885.773492269913	4	3	3	3
3895.9635276519844	4	4	4	4
3906.143562999333	4	4	4	4
3916.323598346682	4	4	4	4
3926.503633694031	4	4	4	4
3936.68366904138	4	4	4	4
3936.8936697705535	4	3	3	3
3947.0937051873475	4	4	4	4
3957.2737405346966	4	4	4	4
3967.4537758820456	4	4	4	4
3977.6338112293947	4	4	4	4
3987.813846576743	4	4	4	4
3988.023847305917	4	3	3	3
3998.223882722711	4	4	4	4
4008.40391807006	4	4	4	4
4018.5839534174092	4	4	4	4
4028.7639887647574	4	4	4	4
4038.9440241121065	4	4	4	4
4039.1540248412807	4	3	3	3
4049.344060223352	4	4	4	4
