Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695a77f8a6ad729ca8d877d7 - minikube	Unknown Heuristic - Run None (Profile ?) 695a77f8a6ad729ca8d877d7 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695a77f8a6ad729ca8d877d7 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695a77f8a6ad729ca8d877d7 - minikube-m04
2495.19000000017	4	4	4	4
2505.370000000174	4	4	4	4
2505.5800000001786	4	3	3	3
2515.780000000183	4	4	4	4
2525.960000000187	4	4	4	4
2536.140000000191	4	4	4	4
2546.320000000195	4	4	4	4
2556.5000000001987	4	4	4	4
2556.7200000002035	4	3	3	3
2566.920000000208	4	4	4	4
2577.100000000212	4	4	4	4
2587.2800000002158	4	4	4	4
2597.4600000002197	4	4	4	4
2607.6400000002236	4	4	4	4
2607.850000000228	4	3	3	3
2618.0500000002326	4	4	4	4
2628.2300000002365	4	4	4	4
2638.4100000002404	4	4	4	4
2648.5900000002443	4	4	4	4
2658.7700000002483	4	4	4	4
2658.980000000253	4	3	3	3
2669.180000000257	4	4	4	4
2679.360000000261	4	4	4	4
2689.540000000265	4	4	4	4
2699.720000000269	4	4	4	4
2709.900000000273	4	4	4	4
2710.1100000002775	4	3	3	3
2720.310000000282	4	4	4	4
2730.490000000286	4	4	4	4
2740.6700000002897	4	4	4	4
2750.8500000002937	4	4	4	4
2761.0300000002976	4	4	4	4
2761.240000000302	4	3	3	3
2771.4400000003066	4	4	4	4
2781.6200000003105	4	4	4	4
2791.8000000003144	4	4	4	4
2801.9800000003183	4	4	4	4
2812.1600000003223	4	4	4	4
2812.370000000327	4	3	3	3
2822.560000000331	4	4	4	4
2832.740000000335	4	4	4	4
2842.920000000339	4	4	4	4
2853.100000000343	4	4	4	4
2863.2800000003467	4	4	4	4
2863.4900000003513	4	3	3	3
2873.6800000003554	4	4	4	4
2883.8600000003594	4	4	4	4
2894.0400000003633	4	4	4	4
2904.2200000003672	4	4	4	4
2914.400000000371	4	4	4	4
2914.6100000003757	4	3	3	3
2924.81000000038	4	4	4	4
2934.990000000384	4	4	4	4
2945.170000000388	4	4	4	4
2955.350000000392	4	4	4	4
2965.530000000396	4	4	4	4
2965.7400000004004	4	3	3	3
2975.940000000405	4	4	4	4
2986.1200000004087	4	4	4	4
2996.3000000004126	4	4	4	4
3006.4800000004166	4	4	4	4
3016.6600000004205	4	4	4	4
3016.870000000425	4	3	3	3
3027.060000000429	4	4	4	4
3037.240000000433	4	4	4	4
3047.420000000437	4	4	4	4
3057.600000000441	4	4	4	4
3067.780000000445	4	4	4	4
3068.0000000004497	4	3	3	3
3078.190000000454	4	4	4	4
3088.370000000458	4	4	4	4
3098.5500000004618	4	4	4	4
3108.7300000004657	4	4	4	4
3118.9100000004696	4	4	4	4
3119.120000000474	4	3	3	3
3129.3200000004786	4	4	4	4
3139.5000000004825	4	4	4	4
3149.6800000004864	4	4	4	4
3159.8600000004903	4	4	4	4
3170.0400000004943	4	4	4	4
3170.250000000499	4	3	3	3
3180.450000000503	4	4	4	4
3190.630000000507	4	4	4	4
3200.810000000511	4	4	4	4
3210.990000000515	4	4	4	4
3221.170000000519	4	4	4	4
3221.3800000005235	4	3	3	3
3231.5700000005277	4	4	4	4
3241.7500000005316	4	4	4	4
3251.9300000005355	4	4	4	4
3262.1100000005395	4	4	4	4
3272.2900000005434	4	4	4	4
3272.500000000548	4	3	3	3
3282.690000000552	4	4	4	4
3292.870000000556	4	4	4	4
3303.05000000056	4	4	4	4
3313.230000000564	4	4	4	4
3323.410000000568	4	4	4	4
3323.6200000005724	4	3	3	3
3333.820000000577	4	4	4	4
3344.0000000005807	4	4	4	4
3354.1800000005846	4	4	4	4
3364.3600000005886	4	4	4	4
3374.5400000005925	4	4	4	4
3374.750000000597	4	3	3	3
3384.9500000006014	4	4	4	4
3395.1300000006054	4	4	4	4
3405.3100000006093	4	4	4	4
3415.4900000006132	4	4	4	4
3425.670000000617	4	4	4	4
3425.8800000006217	4	3	3	3
3436.070000000626	4	4	4	4
3446.25000000063	4	4	4	4
3456.4300000006338	4	4	4	4
3466.6100000006377	4	4	4	4
3476.7900000006416	4	4	4	4
3477.000000000646	4	3	3	3
3487.1900000006503	4	4	4	4
3497.3700000006543	4	4	4	4
3507.550000000658	4	4	4	4
3517.730000000662	4	4	4	4
3527.910000000666	4	4	4	4
3528.1200000006706	4	3	3	3
3538.320000000675	4	4	4	4
3548.500000000679	4	4	4	4
3558.680000000683	4	4	4	4
3568.860000000687	4	4	4	4
3579.0400000006907	4	4	4	4
3579.2600000006955	4	3	3	3
3589.4600000007	4	4	4	4
3599.640000000704	4	4	4	4
3609.8200000007078	4	4	4	4
3620.0000000007117	4	4	4	4
3630.1800000007156	4	4	4	4
3630.39000000072	4	3	3	3
3640.5800000007243	4	4	4	4
3650.7600000007283	4	4	4	4
3660.940000000732	4	4	4	4
3671.120000000736	4	4	4	4
3681.30000000074	4	4	4	4
3681.5100000007446	4	3	3	3
3691.710000000749	4	4	4	4
3701.890000000753	4	4	4	4
3712.070000000757	4	4	4	4
3722.250000000761	4	4	4	4
3732.4300000007647	4	4	4	4
3732.6400000007693	4	3	3	3
3742.8400000007737	4	4	4	4
3753.0200000007776	4	4	4	4
3763.2000000007815	4	4	4	4
3773.3800000007855	4	4	4	4
3783.5600000007894	4	4	4	4
3783.770000000794	4	3	3	3
3793.960000000798	4	4	4	4
3804.140000000802	4	4	4	4
3814.320000000806	4	4	4	4
3824.50000000081	4	4	4	4
3834.680000000814	4	4	4	4
3834.8900000008184	4	3	3	3
3845.0800000008226	4	4	4	4
3855.2600000008265	4	4	4	4
3865.4400000008304	4	4	4	4
3875.6200000008344	4	4	4	4
3885.8000000008383	4	4	4	4
3886.010000000843	4	3	3	3
3896.2100000008472	4	4	4	4
3906.390000000851	4	4	4	4
3916.570000000855	4	4	4	4
